Gene names,Alpha A30P_day_1_1,Alpha A30P_day_1_2,Alpha A53T_day_1_1,Alpha A53T_day_1_2,Alpha _day_1_1,Alpha _day_1_2,
B52,1.0769,1.1606,1.1895,1.2153,1.2325,1.1952,
CG18624-RB,2.9521,3.0091,2.1791,2.2713,3.0219,3.0518,
nec,2.3924,1.9745,2.0934,1.8562,2.2492,2.0894,
Adgf-D,0.84808,0.97352,1.2113,0.817,0.98691,0.90411,
,2.708,2.1527,2.573,6.0197,2.1074,1.7565,
Obp99b,0.28209,0.24455,0.22745,0.19439,0.2928,0.26072,
,2.3121,1.3927,1.3877,NaN,1.8978,1.7714,
se,0.61681,0.61994,0.64376,0.47603,0.66151,0.69892,
Pdsw,3.3992,2.4692,2.7121,1.8502,2.7945,2.7434,
eIF3-S6,0.17937,0.21872,0.33901,0.19744,0.21222,0.19498,
Idgf2,0.49031,0.45338,0.47704,0.38456,0.44794,0.42723,
PRL-1,0.95617,0.9021,0.91629,0.97304,0.96943,1.0247,
Pcd,1.2556,0.7813,1.2975,0.95136,1.0234,0.87341,
Uba1,0.056547,1.0153,0.060321,0.079056,0.075459,0.21229,
Pep,0.28518,0.31366,0.32394,0.27995,0.30696,0.34563,
sun,3.9658,2.5915,3.4333,3.0116,2.5148,2.2837,
Ubqn,1.8523,1.9707,1.6378,1.531,1.6522,1.5446,
nonA,0.8164,0.9074,0.88871,0.75684,0.96323,1.0012,
,0.81807,0.89361,1.0431,0.9031,0.98515,0.92996,
,0.88742,0.85178,0.94894,0.73069,0.82973,0.95026,
awd,1.5984,1.2474,1.4661,1.2451,1.2604,1.1958,
,0.9488,1.0882,1.4295,0.77078,0.95312,0.98878,
Tim10,2.1101,1.4927,1.5437,NaN,1.4863,1.9482,
Cpr64Aa,0.38961,0.28437,0.16519,0.12858,0.17377,0.14594,
,0.52297,1.6905,0.76828,0.53884,0.91755,0.64549,
Rpn9,0.35398,0.48729,0.45407,0.37578,0.39942,0.41225,
Scsalpha,0.91598,1.0685,0.98334,1.0208,1.0932,1.1421,
Vha16-1,1.4058,1.3187,2.6532,1.4176,2.1663,1.9915,
Got1,1.8099,2.1137,2.3137,2.1694,2.4626,2.2692,
Lsp1beta,0.49432,0.5146,0.80689,0.72308,0.27041,0.26406,
REG,0.53158,0.70367,0.89149,0.9726,0.75104,0.79937,
Arr2,0.40241,0.4396,0.64876,0.56147,0.55962,0.59331,
Manf,1.3,1.0874,1.1881,0.8262,1.0166,1.2318,
CG12264,0.88387,0.75164,0.80116,0.68836,0.91442,0.77734,
Nplp2,0.97888,1.0014,0.98541,0.98607,1.2871,1.3409,
CSN8,0.94674,0.88438,0.69119,NaN,0.79793,0.68053,
shot,0.13677,0.16452,0.13115,0.11331,0.12417,0.12447,
Sucb,0.40376,0.37464,0.414,0.27747,0.40961,0.34069,
capt,0.38202,0.40196,0.38424,0.33456,0.35967,0.38612,
VhaAC39-1,0.48111,0.51412,0.68396,0.49643,0.51028,0.55003,
Hsc70-4,0.25819,0.2477,0.25533,0.23807,0.24712,0.28174,
CG8386,1.0721,1.0657,0.68309,0.70253,0.82116,0.88575,
,3.0902,2.183,2.5316,2.0149,2.2176,2.0872,
Pros26,0.7492,0.70495,0.85714,0.75817,0.60851,0.70445,
l(1)G0230,4.9789,3.7406,3.8812,2.6615,2.9647,3.2347,
tomosyn,0.30038,0.39586,0.42518,0.45324,0.57486,NaN,
stnA,2.1119,2.0375,2.5058,1.9544,1.8742,1.6954,
,NaN,NaN,NaN,NaN,0.46872,0.48931,
CG2263,1.0448,0.95404,1.0951,0.91648,0.9994,0.99408,
Cyt-b5,1.5108,1.2712,1.5412,1.1849,1.1657,1.2758,
coro,0.20567,0.23566,0.23736,0.30142,0.22179,0.23041,
yellow-c,1.4901,1.3516,1.4149,1.173,1.239,1.2213,
l(1)G0289,1.3656,1.8969,1.0654,4.4587,1.3389,1.189,
Pros35,0.62223,0.51533,0.62514,0.54476,0.53623,0.55265,
CAP,0.67647,0.44385,0.61917,0.66631,0.6969,0.59904,
Letm1,1.8372,2.1408,1.9746,1.7994,2.0876,1.9962,
Pros25,0.81062,0.70147,0.80766,0.712,0.67826,0.80202,
Dpt,NaN,NaN,NaN,NaN,NaN,NaN,
CG10639-RA,0.55469,0.62358,0.67378,0.58301,0.69921,0.67471,
,0.81041,0.72685,0.69409,0.73928,0.57779,0.44666,
Egm,0.33185,0.39975,0.41506,0.37011,0.35352,0.38683,
CG33672-RA,1.1205,1.0106,0.9448,NaN,0.85985,0.7856,
BcDNA.GH02220,1.348,1.1452,1.3633,0.98676,1.4549,1.3622,
ref(2)P,1.1837,1.4576,NaN,0.92229,1.2861,1.1567,
GckIII,0.47312,0.47008,0.27489,0.3852,1.4788,0.8846,
,3.9344,3.6831,3.9468,3.4436,3.1507,3.5419,
TpnC25D,3.6217,2.7548,3.5238,3.1276,2.9326,3.0213,
ATPsyn-d,2.5336,2.2804,2.1841,1.7759,2.1292,2.3784,
AP-2mu,0.40926,0.55332,0.534,0.52699,0.56932,0.53499,
,1.4573,1.593,1.3806,1.1839,1.5165,1.3183,
Cyp1,1.2094,0.96681,1.0476,0.89868,1.0542,1.1875,
ergic53,0.68988,0.81968,0.74742,0.65517,0.69503,0.75259,
exba,0.28304,0.33684,0.33677,0.25247,0.34167,0.40777,
Atox1,2.2296,1.8106,2.575,NaN,2.1151,2.0457,
fau,1.6718,1.4077,1.5008,1.3098,1.1442,1.1645,
Prosalpha7,0.73759,0.63059,0.67665,0.74042,0.66575,0.61216,
rgn,1.4725,1.6018,1.2765,1.0379,1.2537,1.4163,
CG3961-RD;CG3961-RA,0.16801,0.20107,0.31116,0.19829,0.19912,0.2183,
sgg,0.35928,0.35567,0.54268,0.44597,0.42054,0.44739,
Rh50,0.74995,0.62639,2.527,0.80955,0.93567,1.1482,
Hel25E,0.33532,0.39935,0.4413,0.39476,0.39832,0.43861,
CG1513-RA,0.42455,0.71284,0.37743,NaN,NaN,0.45909,
,0.72144,0.78378,1.0865,1.6087,0.75928,0.85695,
Rho1,0.56774,0.56696,0.77935,0.54775,0.86307,0.64441,
janA,1.2604,1.0599,1.4827,1.0763,1.0823,0.90834,
,0.37433,0.3655,15.817,NaN,0.4365,0.41089,
CkIIalpha,0.64039,0.88599,0.84559,0.88746,1.0138,0.81959,
und,0.17662,0.23397,0.21745,0.19801,0.29327,0.31365,
Phm,1.581,1.2177,NaN,1.2307,1.6212,1.251,
CG34327-RA,0.51054,0.34492,0.42607,0.26865,0.32895,0.28508,
,0.25688,0.21979,0.26313,0.24191,0.24245,0.24366,
,1.8545,1.95,1.7236,1.5041,4.2242,3.1066,
,1.4621,1.258,0.61442,0.60573,0.84,0.83372,
Hrb98DE,1.5953,1.3843,1.4321,1.1639,1.402,1.3714,
Bsg,1.5787,1.5211,1.8319,1.3019,1.8514,1.4616,
,1.8742,2.4711,2.6793,1.8926,1.7048,2.3079,
mbf1,0.68532,0.54693,0.57731,0.44435,0.55457,0.50734,
,0.55199,0.61185,0.60524,0.66338,0.67702,0.58591,
CG9603,3.8292,3.0368,3.8916,3.385,2.9579,2.8382,
CG6950-RC,0.66766,0.77222,0.68623,0.6324,0.74759,0.6633,
,0.76612,0.90889,0.97576,0.83279,0.92406,0.93543,
Roe1,0.84948,0.83531,0.8268,0.62586,0.68902,0.84348,
,0.47019,0.40857,0.44048,0.36901,0.30299,0.41051,
Rpn5,0.10593,0.1356,0.11508,0.14474,0.10136,0.13294,
Mlc1,1.4133,1.3013,1.1493,1.1992,1.1899,1.0224,
,0.69076,0.88583,0.6867,0.63992,0.67103,0.69427,
Nrg,0.70779,0.68625,0.77605,0.68684,0.68938,0.72723,
,2.2502,1.7225,1.9684,1.6126,1.6751,1.6329,
nop5,0.38743,0.4802,0.62762,0.37843,0.42554,0.40124,
CG3107,0.14977,0.22741,0.27099,0.29661,0.21688,0.28382,
CG16817,0.75705,0.77703,0.78616,0.67127,0.70078,0.71932,
Pgk,0.94825,0.93764,0.97463,0.9488,1.0301,0.99055,
ben,1.1112,1.215,1.2839,0.96144,1.1402,1.1841,
Lsd-2,0.45957,0.51402,0.54892,0.42114,0.47561,0.50621,
mtacp1,4.299,3.2506,2.3804,2.595,2.6388,3.3687,
CG6972-RA,0.33093,0.28308,0.28021,0.26348,0.33115,0.32972,
nmd,0.43833,NaN,NaN,0.40226,0.37337,NaN,
CG4692,3.8735,3.7628,2.9129,3.6208,4.3113,4.1658,
VhaSFD,0.41183,0.44691,0.57583,0.5229,0.53956,0.5321,
CG5174-RA,1.7327,1.459,1.5784,1.4237,1.4374,1.2627,
l(2)06225,2.1001,2.0434,1.9109,1.2407,1.8377,1.5468,
Pdh,1.0038,0.91981,1.074,1.008,0.96243,1.19,
tau,1.7848,1.2931,1.613,1.4304,1.4543,1.7714,
ps,0.53208,0.4406,0.5885,0.47102,0.45296,0.48984,
,0.63735,0.60327,0.22374,0.12995,0.21744,0.17717,
,3.0357,3.1572,2.7043,2.2626,2.2183,3.1205,
wdp,2.7239,3.1538,1.2899,2.7417,2.0609,2.6181,
TER94,0.19494,0.19751,0.21893,0.18615,0.20478,0.22305,
CG5412,0.82609,NaN,0.65158,2.0371,0.74892,0.90097,
fau,0.56694,0.50392,0.40073,0.36816,0.43224,0.41691,
Spase22-23,1.2656,1.3078,1.2513,1.1371,1.2239,1.2531,
Mdh2,1.3709,1.2045,1.3161,1.1103,1.298,1.3485,
path,0.50113,NaN,0.72203,NaN,NaN,0.71846,
Rad23,0.50068,0.53391,0.5592,0.46374,0.44676,0.4452,
Spn27A,2.0892,1.4505,1.9206,1.5353,1.9748,2.044,
Eno,1.1027,1.1097,0.98279,0.94502,1.0812,1.0702,
blp,2.8684,2.509,2.0831,1.7854,2.492,2.411,
Lasp,0.48059,0.4085,0.50819,0.34515,0.46531,0.40171,
,1.3414,1.4241,1.6893,1.5037,1.303,1.3548,
,1.3593,1.5779,1.878,1.1216,1.5775,1.5796,
Pp2B-14D,0.52632,0.53299,0.60939,0.56846,0.60854,0.56447,
scu,1.2973,1.1919,1.5787,1.1344,1.7339,1.3407,
wupA,3.0975,2.6742,3.2198,2.5141,2.5941,2.5527,
,NaN,2.1446,3.9836,2.6211,NaN,NaN,
Cpr76Bd,0.40951,0.39502,0.1882,0.20361,0.26109,0.2691,
,0.76171,0.78529,0.86743,0.76989,0.90484,0.85645,
Ucrh,3.1847,2.9657,2.8178,2.1047,2.1475,5.0716,
uex,0.43537,0.43507,0.79094,0.41444,0.42804,0.51845,
Caps,0.23428,0.23661,0.28394,0.22901,0.25829,0.25703,
,2.1341,1.7396,1.7769,1.5055,1.7026,1.5909,
5PtaseI,0.41246,0.32972,0.38032,0.44782,0.28253,0.3376,
Unc-115b;Unc-115a,0.20296,0.2351,0.44445,0.2454,0.16721,0.23427,
,0.85905,1.1132,1.6166,1.0573,1.4459,1.5575,
trp,0.29109,0.33703,0.46814,0.36812,0.46457,0.4308,
vps24,1.2063,1.0597,1.2125,1.6316,1.8526,1.319,
betaCop,0.2748,0.29253,0.26053,0.35138,0.24663,0.20926,
,3.3005,3.2638,3.3181,2.4645,3.5997,3.3895,
Vha36-3,2.7455,3.0234,3.2228,2.2174,NaN,2.679,
,0.54661,0.71563,0.61316,0.49628,0.66765,0.72885,
Pros29,0.50312,0.52238,0.55136,0.44591,0.47174,0.48307,
CG3842-RA,0.40777,0.297,0.1816,0.55245,0.22896,0.31313,
,0.26425,0.37025,0.31589,0.25989,0.40387,0.29467,
eIF3-S10,0.24833,0.24975,0.23181,0.24915,0.24684,0.23383,
Ugt86Da,2.5212,3.0779,3.4918,2.2054,3.2992,2.9365,
,1.4272,1.1407,1.4819,1.0229,0.97552,1.0778,
,2.9552,2.9507,3.2578,2.8093,3.8416,3.602,
lost,0.42346,0.43127,0.41233,0.43862,0.43951,0.44604,
CG2145,0.8495,0.80389,0.80345,0.74895,0.9487,0.87142,
CaBP1,0.53732,0.48798,0.45279,0.41143,0.4684,0.46722,
Tim13,3.2592,2.4626,2.171,1.8973,2.517,2.0357,
Hrs,0.61718,0.51246,0.49832,0.51727,0.64126,0.66366,
Vinc,0.16034,0.19043,0.20236,0.12453,0.18436,0.21403,
NLaz,1.1642,0.94983,1.1995,1.0821,0.98885,0.88679,
DppIII,0.27173,0.30293,0.29609,0.29267,0.28722,0.31487,
TSG101,0.64441,0.5416,0.62922,0.50262,0.64398,0.6696,
Ncc69,0.31578,0.4734,0.56356,0.47546,0.43236,0.40085,
yip2,1.0433,1.0325,1.0817,0.97306,1.0711,1.0882,
Fatp,0.48384,0.51331,0.53488,0.46281,0.5999,0.61071,
zip,0.15818,0.16255,0.18534,0.14399,0.14693,0.14363,
Cyp12b2,0.98783,1.0297,NaN,NaN,1.0157,NaN,
Vha68-1,0.77101,0.78008,0.96602,0.69764,0.8381,0.90469,
Sar1,0.71607,0.89854,0.86949,0.6921,0.94417,1.0742,
Prx3,1.1541,1.2957,1.4814,1.2657,1.3015,1.2188,
,2.253,1.9611,2.0454,1.6368,2.1526,2.661,
Fech,0.61953,0.59938,0.67367,0.41108,0.72142,0.72656,
cpa,1.0188,0.9789,0.90385,0.79988,0.95726,1.0947,
bcn92,3.5397,2.8967,2.6487,1.9876,2.8092,2.8947,
,1.4197,1.2845,1.2438,1.1056,1.4159,1.4705,
gho,0.12694,0.16255,0.28764,0.13197,0.17149,0.18801,
fabp,3.0766,2.5527,3.0067,2.6145,2.6322,2.6448,
Nop60B,0.64591,0.63836,0.31787,0.60383,0.6337,0.65434,
Fas3,1.3515,1.2382,NaN,1.4225,1.2764,1.151,
Hsp83,0.24853,0.25709,0.24621,0.25558,0.24692,0.30492,
ATPsyn-b,1.1988,1.2094,1.1386,0.99532,1.1781,1.2911,
Ubc-E2H,0.75963,0.79836,0.4635,0.71393,0.80577,0.72651,
Pros45,0.38791,0.43089,0.42121,0.30964,0.40956,0.34349,
Lmpt,0.18176,0.22534,0.29896,0.24181,0.22663,0.25417,
AnxB10,1.7692,1.5562,1.9028,1.5379,1.5989,1.714,
endos,1.0103,0.90303,0.95863,0.72136,0.89332,0.89582,
eIF-4a,0.26256,0.33226,0.35772,0.28723,0.34587,0.29436,
Vps4,0.68485,0.69724,0.6973,0.61391,0.71594,0.63153,
CG33090,0.2983,0.31798,0.34357,NaN,0.36805,0.86303,
Hsp60,0.80425,0.74722,0.7505,0.65167,0.69613,0.75634,
,2.3899,1.8692,1.9362,1.8398,1.7064,1.9023,
wupA,2.3118,2.2649,2.6004,1.875,2.1457,2.2662,
RpL17,0.3259,0.29569,0.26141,0.27211,0.27457,0.35089,
cindr,0.49178,0.53231,0.90959,0.55841,0.76766,0.85794,
CG17737,0.74961,0.59515,0.68781,0.66465,0.63651,0.74685,
BG:DS00180.3,1.1259,0.90191,1.1407,0.9632,1.0542,0.96681,
EfTuM,0.50787,0.54129,0.46965,0.47263,0.54574,0.53442,
CSN7,0.64482,NaN,0.98585,NaN,0.59974,0.69221,
e,0.19476,0.2275,0.30127,0.28723,0.22428,0.20546,
,0.83549,0.7744,1.6815,NaN,1.0476,1.5147,
Cand1,0.25092,0.342,0.24245,0.33321,0.29775,0.2205,
,1.0107,0.866,0.81561,0.78586,0.69815,0.83842,
,0.39742,0.47623,0.51025,0.43921,0.49879,0.42271,
AP-2alpha,0.22422,0.3403,0.24907,0.30475,0.26089,0.27234,
pAbp,0.43795,0.41063,0.41721,0.41028,0.43233,0.41162,
Ykt6,1.1086,1.5983,1.3258,1.5897,1.1567,1.1817,
CG10217-RA,0.51777,NaN,0.69418,0.52343,NaN,0.677,
Rpn11,0.2659,0.4482,0.3808,0.31534,0.37407,0.42344,
Pp2A-29B,0.22267,0.27446,0.2132,0.2296,0.2567,0.27168,
HIP-R;HIP,0.37917,0.36488,0.44686,0.35133,0.37293,0.36967,
caz,1.3272,1.1921,1.2602,1.2376,1.2394,1.1884,
,0.76047,0.67104,0.42954,NaN,0.67009,0.66989,
eIF-2gamma,0.23006,0.20665,0.20177,0.20974,0.17591,0.18985,
CG13349;Rpn13,0.60701,0.47309,0.50893,0.49973,0.50273,0.48875,
Psa,0.17275,0.19302,0.22329,0.20982,0.18532,0.19996,
,0.75514,0.80838,0.61463,NaN,0.80682,0.8071,
,1.255,1.1968,1.6541,1.4146,1.5099,1.5102,
Gp210,0.28171,0.5043,0.52197,0.3781,0.40872,0.55257,
Cpr100A,1.1195,0.95438,1.0119,1.0158,1.006,1.0515,
RpS8,0.58834,0.54405,0.57873,0.3806,0.57381,0.62813,
Lamp1,1.4906,1.5448,1.6038,1.2365,1.631,1.4233,
Rpn7,0.28483,0.33452,0.33178,0.28843,0.35874,0.34191,
Etf-QO,0.45824,0.50793,0.4538,0.50094,0.54072,0.45526,
Ssb-c31a,1.9369,1.5494,1.4588,1.1676,2.0159,1.9418,
,1.6322,1.5467,1.5968,1.4079,1.5751,1.3694,
,1.1187,1.1031,1.1022,0.98833,1.0148,1.1591,
,0.57053,0.72849,1.1998,0.94921,0.64807,0.80908,
Sip1,0.99285,1.0089,0.84873,0.64538,0.77254,0.85271,
Dms,3.1729,2.7908,2.2792,NaN,3.0335,3.0632,
,2.6133,2.2832,2.0381,1.2121,2.0365,1.7286,
Pex19,1.9114,1.446,1.5214,1.3447,1.4489,1.3877,
Syp,0.39272,0.40908,0.37263,0.3683,0.39272,0.39497,
CG33228-RA,3.8307,3.9506,2.8873,3.7889,5.2441,4.8729,
Jafrac1,0.98973,0.96401,1.1728,1.0658,1.1736,1.1032,
CG32017-RB,2.1091,2.0179,2.544,2.3952,2.762,2.3096,
CG2915-RB,0.85749,0.77543,0.91959,0.65112,0.78798,0.75259,
Aats-ala,0.10062,0.13719,0.1013,0.14853,0.1189,0.1342,
Hsp23,0.32508,0.29868,0.26339,0.26036,0.24122,0.28582,
CG43078-RA;CG32352,0.46076,0.90723,0.60177,0.58597,0.4562,0.38738,
Prosbeta2,0.48485,0.48067,0.51474,0.44004,0.45444,0.49527,
,0.94786,0.8723,0.68111,0.79031,0.87847,0.91383,
endoB,0.70408,0.77091,0.67767,0.91806,0.8003,0.76188,
l(2)efl,1.539,1.2448,1.1539,1.0451,1.1028,0.94259,
PyK,0.76824,0.82565,0.89484,0.76317,0.97491,0.91069,
colt,0.74886,0.96171,1.0376,0.87618,0.95518,0.889,
Ptpa,0.4897,0.76248,0.94518,1.0816,0.69337,0.53468,
ATPCL,0.18751,0.20758,0.22334,0.2453,0.19436,0.20562,
,0.89643,0.82846,0.86721,1.0252,0.88227,1.0178,
,1.22,1.1522,1.4786,1.4972,1.3188,1.8417,
Hop,0.39209,0.3926,0.30977,0.29622,0.35069,0.35156,
CG8728-RA,0.4674,0.36007,0.46489,0.38094,0.47656,0.38303,
CG7637,1.1387,1.5403,1.2988,1.0886,0.94107,1.3234,
Kap-alpha3,0.34343,0.43785,0.50876,0.36648,0.40415,0.39377,
Cyp9f2,0.58564,0.55406,0.81867,0.635,0.75412,0.68269,
Spase25,0.48778,0.50786,0.54677,0.38883,0.51522,0.4611,
,0.16287,0.16744,0.18716,0.20259,0.15032,0.18206,
Sap-r,1.9025,1.493,1.4208,1.4164,1.4642,1.5909,
Flo-2,0.86023,0.93173,0.83144,0.73197,1.0061,1.0037,
Pbprp2,9.6348,7.7578,7.1849,7.7826,6.2016,6.9872,
PHGPx,1.6743,1.5974,1.8,1.537,1.5092,1.5046,
CG32068,3.352,1.5923,1.7444,2.0584,2.2731,2.1311,
Vha68-2,0.81249,0.80522,0.87693,0.74572,0.89685,0.78679,
,0.39875,0.46036,0.47602,0.38203,0.39123,0.42823,
Prosalpha1,0.42754,0.34377,0.3957,0.34643,0.37815,0.34056,
CG4747,0.4222,0.61087,0.52329,0.38867,0.59437,0.44298,
DhpD,0.47569,0.51916,0.50491,0.43248,0.59584,0.52175,
HspB8,2.5867,2.0052,2.3638,1.9802,1.7638,1.9003,
ND75,0.22333,0.23952,0.19327,0.23066,0.28298,0.26742,
CG12262,1.2203,1.1456,1.2176,1.1355,1.231,1.1797,
CG6259,1.3702,1.0839,1.3585,1.0536,1.2016,1.0035,
,3.1466,2.5272,2.5169,2.3417,2.4077,2.6887,
CG3192-RA,2.1979,2.4689,2.2786,1.996,2.4177,2.264,
sea,1.2708,1.5998,1.6164,1.2505,1.6808,1.6001,
,1.6089,1.5272,1.4435,0.88991,1.5386,1.4606,
Acsl,0.26163,0.36327,0.30105,0.25276,0.32926,0.30834,
pont,0.55949,0.59264,0.41179,0.36481,0.51542,0.43982,
VhaM8.9,1.6416,0.8704,1.2025,0.82007,1.1546,1.1575,
HspB8,2.2354,1.6806,2.1608,1.6688,1.8346,1.4515,
Hsc70Cb,0.14944,0.19423,0.14825,0.14261,0.16453,0.17412,
,0.69669,0.72012,0.44047,0.57886,0.54728,0.67871,
if,0.50201,0.63624,0.62534,0.61762,0.6005,0.66215,
Jheh2,1.5763,1.7115,1.731,1.2354,1.5824,1.6193,
Nipsnap,2.1099,2.1634,2.1996,1.6303,2.4025,2.2511,
Nlp,2.5122,1.9926,2.0743,1.9756,2.0089,2.0115,
Past1,0.89257,0.91,0.86431,0.81137,0.88377,0.92757,
RpS23,0.56741,0.58325,0.49396,0.43749,0.56192,0.59145,
,1.0109,1.0891,1.3568,1.1676,1.3214,1.0811,
RpL36,0.79751,0.86251,0.94489,0.7298,0.88635,0.82918,
,1.0424,0.92719,1.0118,0.87608,0.88601,0.87347,
,4.0946,3.5329,NaN,NaN,NaN,NaN,
Thiolase,1.0972,1.2281,1.3766,1.0595,1.1622,1.1606,
,1.4504,0.88322,1.0909,0.87728,0.95236,1.0858,
CG1354,0.28002,0.30753,0.31834,0.28656,0.34346,0.33246,
Clc,1.3173,1.1955,1.429,1.046,0.98036,0.98091,
,1.2192,1.0843,NaN,1.0934,1.7303,1.4429,
,1.1604,1.1788,1.1201,1.216,0.97302,1.0417,
,0.49899,0.64432,0.40679,0.44946,0.36101,0.2975,
,6.532,4.8061,4.2194,NaN,4.0997,4.1686,
,0.18814,0.13495,0.23751,0.30492,0.22277,0.18315,
,0.66786,0.6816,0.73148,0.91936,0.8474,NaN,
CG32549-RE;CG32549-RF;CG32549-RA;CG6247,0.97003,1.1273,1.2024,0.93472,1.2843,1.3048,
,1.3751,1.342,NaN,1.1178,1.479,1.8793,
CG8154,0.27471,0.27833,0.30452,0.26948,0.30877,0.33764,
,5.8112,5.5791,9.7396,10.252,9.7241,9.4534,
CG2640,2.0813,1.7697,2.8108,1.8634,1.7883,2.0247,
,1.0244,1.2057,0.59729,0.90542,1.0524,1.0106,
Ppox,0.19055,0.30112,0.22048,0.24687,0.318,0.36157,
,1.3867,1.1871,1.1474,0.91996,1.2211,1.0185,
Cyp12e1,1.3947,1.4969,NaN,0.10932,NaN,NaN,
Pgm,0.82309,1.0189,1.0526,0.81027,1.0972,1.0456,
,2.6934,2.5173,3.0676,2.6541,2.639,2.8968,
Gp150,0.9305,0.77304,0.99987,0.86382,1.1483,1.0795,
wal,2.9041,2.7812,2.9912,2.3736,2.6778,2.814,
CG31140-RB,2.6981,0.24705,0.33325,0.40831,2.0181,0.81115,
Mtpalpha,0.71142,0.84518,0.92891,0.76221,0.84557,0.8218,
BG:DS00180.2,0.71728,0.66717,0.72616,0.65904,0.9125,0.79547,
CG6812-RA,NaN,NaN,2.2371,1.4519,NaN,1.0649,
,0.65883,0.48606,0.90434,0.59189,0.86443,0.74489,
RpS2,0.40252,0.41999,0.54509,0.3867,0.49956,0.49489,
Tpi,1.463,1.526,1.35,1.3195,1.2813,1.5416,
Sec61gamma;SEC61G1,0.59232,0.5798,0.52616,NaN,0.58761,0.47411,
alt,0.27518,0.38326,0.35501,0.3006,0.34324,0.32603,
Dhc64C,0.17899,0.18287,0.20643,0.27958,0.18485,0.17908,
Elongin-B,2.6988,1.9586,2.1265,1.8149,1.8904,2.0553,
eIF6,1.0766,0.83965,0.88474,0.87112,0.99553,0.80644,
Indy,NaN,NaN,1.1056,NaN,0.61977,NaN,
RpS17,0.46319,0.38291,0.60874,0.40762,0.49567,0.45894,
RpS24,0.42569,0.48178,0.50319,0.37204,0.55685,0.57114,
,2.2373,2.3787,2.5456,2.3446,2.424,2.0579,
,0.41009,0.52098,0.72887,0.60197,0.60785,0.48742,
elav,0.97333,1.0122,1.132,0.91593,0.90213,1.0944,
Cyp9b2,1.0572,1.2977,0.98592,0.8249,1.3527,1.1086,
sqh,0.95097,0.81921,0.91684,0.75865,0.77146,0.7677,
Nc73EF,0.26794,0.2895,0.38584,NaN,0.42882,0.37094,
Ppn,0.17099,0.21397,0.24489,0.48768,0.25432,0.16614,
cher,0.15264,0.16285,0.1482,0.12472,0.15126,0.13537,
Trp1,0.69549,1.2322,0.87839,0.78482,1.0466,1.2989,
Men,0.94508,1.1114,1.3433,0.99502,1.2762,1.2288,
MSBP,1.2946,1.4014,1.5173,1.2434,1.3126,1.3408,
,2.2741,1.8281,1.3418,1.1784,1.3089,1.5368,
Gnpda1,0.42808,0.42861,0.44502,0.35058,0.27399,0.27837,
l(2)tid,0.62862,0.4902,0.45542,0.34464,0.5805,0.5484,
,1.8943,1.486,1.4266,1.4558,1.4603,1.4511,
cv-d,0.37159,0.29726,0.27193,0.28781,0.30225,0.28063,
Acer,0.25221,0.1485,0.15337,0.47931,0.4602,0.30132,
Gyk,0.74135,0.90132,1.1269,0.69895,1.0056,0.80183,
Ost48,0.76075,0.7849,0.88069,0.60525,0.66329,0.75417,
,0.83609,0.99591,0.71509,0.84079,0.70968,NaN,
Ugt35b,1.5282,2.0215,2.4892,1.4906,1.8353,1.7265,
Snx1,0.9092,0.70363,0.82949,0.75052,0.67726,0.71,
Cp1,0.25207,0.18104,0.24651,0.27909,0.3252,0.21205,
,0.76057,1.0191,0.88597,0.67066,0.54179,0.91901,
Dip-B,0.25518,0.28112,0.3391,0.15305,0.32291,0.27378,
sws,NaN,NaN,1.2507,NaN,NaN,NaN,
CG11899,2.3915,2.4874,2.8434,2.2017,2.8246,2.6545,
,NaN,2.3391,NaN,1.5168,1.9647,2.0228,
GstO2,1.2406,1.1629,1.9061,1.1886,1.2724,1.5289,
zetaCOP;CG5946-RB,2.4142,2.5784,3.0139,2.4401,2.8862,2.8192,
,0.33017,0.37385,0.47117,1.3526,0.29739,0.31531,
CAH1,0.3833,0.39464,0.56684,0.38725,0.37552,0.46999,
NTPase,0.7792,0.93886,1.0269,0.79695,1.0249,1.0781,
,1.8136,2.541,1.7349,1.4273,2.1632,1.7811,
grsm,0.14565,0.19499,0.24319,0.24226,0.20173,0.12399,
,1.0749,1.0704,1.2276,1.0316,1.046,1.0209,
CG34455-RC,1.7039,1.8582,1.9698,1.3621,1.4204,1.415,
Ef1alpha100E,0.23418,0.26144,0.28925,0.25956,0.26651,0.25195,
,NaN,1.6423,1.7333,NaN,1.3741,1.5952,
,1.1182,0.91717,0.94656,0.80764,0.89588,1.0675,
,0.32019,0.22766,0.22505,0.21058,0.23231,0.23013,
Fit1,0.52731,0.34997,0.52122,0.42193,0.31654,0.3666,
,1.5491,1.3332,1.5768,1.3607,1.64,1.6853,
Pdi,0.9029,0.79928,0.72595,0.69097,0.73502,0.68319,
Cpr47Ea,2.1032,1.8672,1.8491,NaN,1.8663,1.7353,
eIF4G,0.19483,0.14205,0.13649,0.17262,0.12834,0.093977,
,1.0954,1.1929,0.22085,1.0246,1.1877,1.5113,
,0.91945,1.067,1.1854,0.76879,1.0332,1.1333,
RpL26,0.85908,0.7689,0.87351,0.68608,0.93907,0.88194,
Moe,0.82425,0.85526,0.89649,0.81294,0.79426,0.82296,
OstStt3,0.40171,1.0223,0.52912,0.25942,0.44685,0.44807,
Gasp,0.32411,0.27438,0.28962,0.25022,0.27155,0.3041,
CG11779-RB,1.5102,1.5867,1.2066,1.2843,1.4503,1.4638,
