Gene names, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_30_1, Alpha _day_30_2,
Rat1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Galt,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Ent2,NaN,NaN,NaN,NaN,
CG9551,NaN,NaN,NaN,NaN,
CG9542,NaN,NaN,NaN,0.48385,
frj,NaN,NaN,NaN,NaN,
retm,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Arpc4,NaN,NaN,NaN,0.77683,
CG9175-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
mtm,NaN,NaN,NaN,NaN,
lid,NaN,NaN,3.6638,NaN,
bchs,NaN,NaN,NaN,0.58217,
,NaN,NaN,NaN,NaN,
obst-E,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG7277,NaN,NaN,NaN,NaN,
CG6907,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Cyp4ac1;Cyp4ac3;Cyp4ac2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
vkg,NaN,NaN,NaN,NaN,
CG3887,NaN,NaN,1.3906,1.2778,
CG3792,NaN,NaN,0.61025,NaN,
Gmd,NaN,NaN,NaN,NaN,
CG14043,NaN,NaN,NaN,NaN,
mRpL24,NaN,NaN,NaN,NaN,
CG12581-RA,NaN,NaN,NaN,NaN,
aux,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Fip1,NaN,NaN,NaN,NaN,
CG12001,NaN,NaN,NaN,NaN,
eIF3-S5-1,NaN,NaN,NaN,NaN,
atms,NaN,NaN,NaN,NaN,
CG2016-RB,NaN,NaN,NaN,NaN,
,NaN,NaN,0.40512,0.39892,
cno,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Prosbeta7,NaN,NaN,NaN,NaN,
mRpL44,NaN,NaN,NaN,NaN,
CG12168,NaN,NaN,NaN,NaN,
CG2509,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
elm,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,0.60422,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG42675-RF,NaN,NaN,NaN,NaN,
Hpr1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Ddx1,NaN,NaN,NaN,NaN,
CG7414,NaN,NaN,NaN,0.47643,
Rpb8,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Wnk,NaN,NaN,NaN,NaN,
CoVIII,NaN,NaN,1.0573,NaN,
M6,NaN,NaN,NaN,NaN,
,NaN,NaN,0.92651,1.0881,
CG12975,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG3116,0.22078,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG3634,NaN,NaN,NaN,NaN,
Pex14,NaN,NaN,NaN,NaN,
CG4186-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,0.46284,
,NaN,NaN,NaN,NaN,
mRpL15,NaN,NaN,NaN,NaN,
zye,NaN,NaN,NaN,NaN,
Toll-9,NaN,NaN,NaN,NaN,
Spn77Bc,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,0.80397,NaN,NaN,NaN,
mRpL10,NaN,NaN,NaN,NaN,
Tbc1d15-17,NaN,NaN,NaN,NaN,
CG17078-RA,NaN,NaN,NaN,NaN,
Spp,NaN,NaN,NaN,0.51785,
nAcRbeta-21C,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Clp,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Atg4,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Iris,NaN,NaN,NaN,0.34455,
capt,NaN,NaN,0.72061,0.86441,
Plap,NaN,NaN,NaN,NaN,
CG5001-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,1.1851,1.4961,
robo3,NaN,NaN,NaN,NaN,
mRpL48,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG15356-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,2.023,2.141,
l(2)s5379,0.80836,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG3597-RA,NaN,NaN,NaN,0.5359,
Glyctk,NaN,NaN,0.29767,0.24487,
Cyp309a1,NaN,NaN,NaN,NaN,
Arpc5,NaN,NaN,1.0946,1.1419,
CG31689-RA,NaN,NaN,NaN,NaN,
CG3098,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Prx6005,NaN,NaN,NaN,0.73195,
,NaN,NaN,NaN,NaN,
GABPI,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
sec5,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Dot,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,0.69134,NaN,
,NaN,NaN,NaN,NaN,
ed,NaN,NaN,NaN,NaN,
lectin-24Db,NaN,NaN,NaN,NaN,
CG3338-RA,NaN,NaN,NaN,NaN,
Elp3,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
hoe2,NaN,NaN,NaN,0.64159,
,NaN,NaN,NaN,NaN,
CG14614-RA,NaN,NaN,NaN,NaN,
CG14619-RC,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
S6kII,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Cda4,NaN,NaN,NaN,NaN,
obst-A,NaN,NaN,NaN,NaN,
Syx16,NaN,NaN,NaN,NaN,
Obp19b,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG32521-RB,NaN,NaN,NaN,NaN,
CG1704,NaN,NaN,NaN,NaN,
,NaN,NaN,0.44817,NaN,
waw,NaN,NaN,NaN,0.42048,
CG10671,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
membrin,NaN,NaN,NaN,NaN,
sinu,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Bre1,NaN,NaN,NaN,NaN,
QC,NaN,NaN,1.7617,1.9365,
,NaN,NaN,NaN,NaN,
alphaKap4,NaN,NaN,NaN,NaN,
loj,NaN,NaN,NaN,NaN,
CG13298,NaN,NaN,1.6936,NaN,
Trn,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,0.36567,0.35983,
,NaN,NaN,NaN,NaN,
CG14830-RA,NaN,NaN,1.8185,2.1074,
unc-13-4A,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,0.6409,
Cyp316a1,NaN,NaN,NaN,NaN,
ltl,NaN,NaN,NaN,NaN,
Srp9,1.1235,NaN,NaN,NaN,
RNaseX25,NaN,NaN,0.80187,0.98111,
CG7375,NaN,NaN,NaN,0.73912,
CG8005,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
exo70,NaN,NaN,NaN,0.47989,
,NaN,NaN,NaN,NaN,
GstO1,NaN,NaN,0.37753,0.45524,
GAPsec,NaN,NaN,NaN,NaN,
Zasp66,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Srp68,NaN,NaN,0.34002,0.40847,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Use1,NaN,NaN,1.3593,1.0279,
nwk,0.21457,NaN,NaN,NaN,
UGP,NaN,NaN,NaN,1.0815,
CG4447-RA,NaN,NaN,3.227,4.1286,
Bet3,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
vnc,NaN,NaN,NaN,0.72796,
,NaN,NaN,NaN,NaN,
CG7949,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
blos2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
APP-BP1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
mRpL2,NaN,NaN,NaN,NaN,
Ufd1-like,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Plod,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Fuca,NaN,NaN,NaN,NaN,
CG6083-RA,NaN,NaN,NaN,NaN,
CG32085-RA,NaN,NaN,NaN,NaN,
RhoGAP68F,NaN,NaN,NaN,NaN,
thoc6,NaN,NaN,NaN,NaN,
,NaN,NaN,1.6185,0.73664,
Smyd4,NaN,NaN,NaN,NaN,
ArfGAP1,NaN,NaN,0.67739,1.0522,
CG10616,NaN,NaN,NaN,NaN,
SmD1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,1.1518,
mRpL20,NaN,NaN,NaN,NaN,
SRm160,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG14105,NaN,NaN,NaN,NaN,
Vps36,NaN,NaN,NaN,NaN,
Liprin-beta,NaN,NaN,NaN,NaN,
bru-3,NaN,NaN,NaN,NaN,
CG8745,NaN,NaN,NaN,NaN,
CG32138,NaN,NaN,NaN,NaN,
Pex1,NaN,NaN,NaN,NaN,
bbg,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
mop,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
mRpL39,NaN,NaN,NaN,NaN,
CTPsyn,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Pex3,NaN,NaN,NaN,NaN,
Prp31,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG7857-RA,NaN,NaN,NaN,NaN,
CG7427,NaN,NaN,NaN,NaN,
UFSP2,NaN,NaN,NaN,NaN,
CG12304;CG12304-RB,NaN,NaN,NaN,NaN,
CG15715-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,0.82348,0.82149,
CG5931,0.52109,NaN,NaN,NaN,
CG17026-RA,NaN,NaN,NaN,NaN,
Hip14,NaN,NaN,NaN,NaN,
CG5161,NaN,NaN,NaN,2.1144,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG13062-RA,NaN,NaN,NaN,NaN,
Nplp3,NaN,NaN,NaN,NaN,
,NaN,NaN,1.2985,NaN,
,NaN,NaN,0.24794,NaN,
mRpS34,NaN,NaN,1.7929,1.6252,
CG4933,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
RAF2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Syx8,NaN,NaN,0.76649,NaN,
l(3)73Ah,NaN,NaN,NaN,NaN,
,NaN,NaN,1.2682,NaN,
,NaN,NaN,NaN,NaN,
Baldspot,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG9705,NaN,NaN,NaN,NaN,
Lmpt,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Fit2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,0.78272,
CG32174,NaN,NaN,NaN,NaN,
Oatp74D,NaN,NaN,NaN,NaN,
U4-U6-60K,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Adgf-A,NaN,NaN,NaN,NaN,
Prestin,NaN,NaN,NaN,NaN,
CG5290-RA,NaN,NaN,NaN,NaN,
mRpS26,NaN,NaN,NaN,NaN,
,NaN,NaN,0.69248,0.74207,
Aut1,NaN,NaN,0.51678,0.53605,
CSN1b,0.57711,NaN,NaN,1.4573,
,NaN,NaN,NaN,NaN,
,NaN,NaN,0.30466,0.30136,
Acp76A,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG10424,NaN,NaN,0.5769,NaN,
,NaN,NaN,NaN,NaN,
Bet1,NaN,NaN,NaN,NaN,
Gbs-76A,NaN,NaN,NaN,NaN,
CG32206-RB,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Cpr76Bb,NaN,NaN,NaN,NaN,
l(3)76BDr,NaN,NaN,NaN,NaN,
CG9330-RA,NaN,NaN,NaN,NaN,
CG9368-RA,0.68284,NaN,NaN,0.71411,
,NaN,NaN,NaN,0.54422,
l(3)76BDm,NaN,NaN,NaN,NaN,
serp,NaN,NaN,NaN,NaN,
Grasp65,NaN,NaN,NaN,NaN,
CG14184-RB,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG32226,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Spn77Bb,NaN,NaN,0.21986,0.14408,
Pmp70,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Arp10,NaN,NaN,NaN,NaN,
,NaN,NaN,0.37009,NaN,
NAA20,NaN,NaN,NaN,NaN,
Nat1,NaN,NaN,0.31667,NaN,
mRpS14,NaN,NaN,NaN,NaN,
Mec2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG7332,0.29267,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG18259-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,4.7333,
,NaN,NaN,NaN,0.77612,
Frq2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG6762,NaN,NaN,1.2903,1.6472,
,NaN,NaN,NaN,NaN,
RhoGAPp190,NaN,NaN,0.31716,0.43768,
,NaN,NaN,0.3847,NaN,
CG5172-RD,NaN,NaN,3.9689,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG16700-RA,NaN,NaN,NaN,NaN,
UBR1,NaN,NaN,NaN,NaN,
RSG7,NaN,NaN,NaN,0.91275,
mRpL22,NaN,NaN,NaN,NaN,
rok,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
mbt,NaN,NaN,NaN,NaN,
crl,NaN,NaN,NaN,NaN,
Cap,NaN,NaN,NaN,NaN,
rngo,NaN,NaN,NaN,NaN,
CG9947-RA,0.67272,NaN,NaN,0.98503,
,NaN,NaN,NaN,NaN,
Aats-arg,NaN,NaN,NaN,0.61998,
mRpL3,NaN,NaN,1.5182,1.736,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG7872,NaN,NaN,NaN,NaN,
CG7860,NaN,NaN,NaN,NaN,
Gmap,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Scamp,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Cyp4s3,NaN,NaN,NaN,NaN,
CG9065-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG14411-RA,NaN,NaN,NaN,NaN,
Ag5r,NaN,NaN,NaN,NaN,
,NaN,NaN,0.5567,NaN,
mRpS25,NaN,NaN,NaN,NaN,
dpr8,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
mRpL38,NaN,NaN,NaN,NaN,
CG11590-RA,NaN,NaN,NaN,NaN,
CG11134,NaN,NaN,0.64527,0.70393,
CG9940,NaN,NaN,NaN,NaN,
Tango2,NaN,NaN,NaN,NaN,
tth,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG34324-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,1.0613,
Rbp1-like,NaN,NaN,1.5097,1.712,
,NaN,NaN,NaN,NaN,
coq5,NaN,NaN,NaN,NaN,
CG12096-RA,NaN,NaN,NaN,NaN,
Bap60,NaN,NaN,NaN,NaN,
,NaN,NaN,0.99063,1.0403,
CG2200,NaN,NaN,1.4521,1.4168,
mRpL49,NaN,NaN,NaN,NaN,
CG4410,NaN,NaN,NaN,NaN,
CG3775-RA,NaN,NaN,0.17175,NaN,
,NaN,NaN,NaN,NaN,
Cpr11B,NaN,NaN,NaN,NaN,
Cpr11A,NaN,NaN,NaN,NaN,
Pkcdelta,NaN,NaN,NaN,NaN,
Tango4,NaN,NaN,NaN,NaN,
CG15735,NaN,NaN,NaN,NaN,
fw,NaN,NaN,NaN,NaN,
pot,NaN,NaN,NaN,NaN,
Upf1,NaN,NaN,NaN,NaN,
CG15738,NaN,NaN,NaN,NaN,
,NaN,NaN,0.54759,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,0.79346,0.2712,
ATP7,NaN,NaN,NaN,NaN,
p24-1,NaN,NaN,1.8489,2.0767,
Amun,NaN,NaN,NaN,0.60407,
FucT6,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,1.2453,NaN,
rho-4,NaN,NaN,NaN,NaN,
e(y)2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG1749,NaN,NaN,NaN,0.48979,
Cyp4g15,NaN,NaN,0.43459,NaN,
HP5,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG1737-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,2.9696,NaN,NaN,NaN,
Aats-leu,NaN,NaN,NaN,NaN,
axo,NaN,NaN,NaN,NaN,
mRpS6,NaN,NaN,NaN,NaN,
CG15014,NaN,NaN,NaN,NaN,
,0.71915,NaN,NaN,NaN,
CG11586-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,0.5412,0.48754,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Mul1,NaN,NaN,NaN,NaN,
CG14985-RB,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
mge,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG14977,NaN,NaN,NaN,NaN,
CG12006,NaN,NaN,NaN,NaN,
eIF5B,NaN,NaN,NaN,0.57232,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG14966-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,0.56218,
Cht7,NaN,NaN,NaN,NaN,
CG32486,NaN,NaN,NaN,NaN,
mRpS35,NaN,NaN,NaN,0.53118,
Fife,NaN,NaN,NaN,NaN,
Aats-pro,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG16986-RA,NaN,NaN,NaN,NaN,
Spn,0.31592,NaN,NaN,0.43568,
Cyp4d20,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
mRpL23,NaN,NaN,NaN,NaN,
ecd,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
BEST:HL03644,NaN,NaN,NaN,NaN,
mv,NaN,NaN,NaN,NaN,
Mfap1,NaN,NaN,NaN,0.93723,
HBS1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Cht2,NaN,NaN,2.1585,1.9658,
n-syb,NaN,NaN,1.5089,1.6948,
,NaN,NaN,0.88858,0.95489,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Cct2,NaN,NaN,NaN,NaN,
312,NaN,NaN,NaN,NaN,
Ptp61F,NaN,NaN,NaN,NaN,
l(3)02640,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Trh,NaN,NaN,NaN,NaN,
CG13903,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,0.43448,
CG13900-RA;CG13900,NaN,NaN,NaN,NaN,
Vti1,NaN,NaN,NaN,NaN,
RabX6,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Cypl,NaN,NaN,NaN,NaN,
Cdc5,NaN,NaN,NaN,NaN,
miple,NaN,NaN,NaN,NaN,
mRpL17,NaN,NaN,NaN,NaN,
DIP2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Jhebp29,NaN,NaN,1.5023,NaN,
CG2811,NaN,NaN,NaN,NaN,
Atf-2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,1.0545,
Cyp9c1,NaN,NaN,NaN,NaN,
,NaN,NaN,0.3479,NaN,
Fcp1,NaN,NaN,NaN,NaN,
CG11414-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG3362,NaN,NaN,NaN,NaN,
mRpS17,NaN,NaN,NaN,NaN,
CG4065,NaN,NaN,NaN,NaN,
gek,NaN,NaN,0.30555,NaN,
,NaN,NaN,NaN,NaN,
Fmo-1,NaN,NaN,0.48664,0.60651,
CG16787-RA,NaN,NaN,1.1284,1.3132,
thoc5,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
egl,NaN,NaN,NaN,NaN,
mRpL43,NaN,NaN,NaN,NaN,
Pal2,NaN,NaN,NaN,2.0133,
St1,NaN,NaN,NaN,NaN,
wmd,NaN,NaN,NaN,NaN,
yellow-d2,NaN,NaN,NaN,NaN,
yellow-d,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,0.30378,
,NaN,NaN,NaN,NaN,
l(2)06496,0.97739,NaN,NaN,NaN,
,NaN,NaN,NaN,1.4981,
Nup214,NaN,NaN,NaN,NaN,
Gmer,NaN,NaN,NaN,NaN,
asrij,NaN,NaN,NaN,NaN,
CG3501,NaN,NaN,3.0269,2.7054,
Cyp6d2,NaN,NaN,0.18505,0.13967,
Ugt58Fa,NaN,NaN,NaN,1.3398,
CG4752-RA,NaN,NaN,NaN,0.41513,
mRpS29,NaN,NaN,0.85792,1.011,
qkr58E-2,NaN,NaN,NaN,1.4589,
,NaN,NaN,0.96174,0.89008,
Rtf1,NaN,NaN,NaN,NaN,
T3dh,NaN,NaN,NaN,NaN,
GM130,NaN,NaN,0.82893,0.37261,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
lox2,NaN,NaN,NaN,NaN,
Rae1,0.45333,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Acox57D-p,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG34396-RC,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
mRpL54,NaN,NaN,NaN,NaN,
CG15653-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
dgt3,NaN,NaN,NaN,NaN,
Rx,NaN,NaN,NaN,NaN,
sktl,NaN,NaN,NaN,NaN,
nocte,NaN,NaN,NaN,0.66333,
,NaN,NaN,NaN,NaN,
Hk,NaN,NaN,NaN,NaN,
CG2974,1.2858,NaN,NaN,0.72708,
Cht6,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG3004,NaN,NaN,NaN,NaN,
Gga,NaN,NaN,NaN,NaN,
,0.56252,NaN,NaN,NaN,
c12.2,NaN,NaN,0.46894,NaN,
ric8a,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG12056,NaN,NaN,NaN,NaN,
Zpr1,NaN,NaN,NaN,NaN,
dalao,NaN,NaN,NaN,NaN,
l(1)G0020,NaN,NaN,NaN,NaN,
Hexo2,NaN,NaN,1.9882,0.49209,
Crag,NaN,NaN,NaN,NaN,
CG12125-RB,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,0.61282,0.23389,
GIIIspla2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,0.51185,
p115,NaN,NaN,0.62172,NaN,
,NaN,NaN,0.79845,0.76299,
CG1677-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG4593-RA,NaN,NaN,NaN,NaN,
CG32736,NaN,NaN,NaN,NaN,
bou,NaN,NaN,NaN,1.1056,
,NaN,NaN,0.56567,0.61798,
,NaN,NaN,NaN,NaN,
CG12542,NaN,NaN,NaN,NaN,
,0.67143,NaN,NaN,0.81195,
COQ7,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Spt6,NaN,NaN,NaN,NaN,
schlank,NaN,NaN,NaN,NaN,
Spx,NaN,NaN,NaN,NaN,
raptor,NaN,NaN,NaN,NaN,
CG4666,NaN,NaN,0.96656,1.6352,
Tsp5D,NaN,NaN,NaN,NaN,
,NaN,NaN,1.4007,1.4492,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
lin-52,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
NAAT1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG3556,NaN,NaN,NaN,NaN,
,NaN,NaN,0.73509,0.24593,
mRpL33,NaN,NaN,1.8822,2.5055,
CG6133,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG2930-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,0.4766,NaN,NaN,NaN,
dnc,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,0.4461,
mRpL14,NaN,NaN,NaN,NaN,
l(1)G0144,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,0.17639,
Mct1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
eIF2B-epsilon,NaN,NaN,NaN,NaN,
mip130,NaN,NaN,NaN,NaN,
mRpL16,NaN,NaN,NaN,NaN,
CG14805-RA,NaN,NaN,NaN,NaN,
CG14817-RA,NaN,NaN,NaN,NaN,
EG:BACN32G11.3,NaN,NaN,NaN,NaN,
CG14770-RA,NaN,NaN,NaN,NaN,
EG:103E12.2,0.51319,NaN,NaN,NaN,
TRAM,NaN,NaN,NaN,NaN,
Roc1a,NaN,NaN,NaN,NaN,
l(1)1Bi,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG9572-RA,NaN,NaN,NaN,0.4137,
Nep3,NaN,NaN,NaN,0.68596,
sec10,NaN,NaN,NaN,NaN,
pic,NaN,NaN,0.13508,0.34705,
Vha100-1,NaN,NaN,NaN,NaN,
Ublcp1,NaN,NaN,NaN,NaN,
,NaN,NaN,4.7609,NaN,
snama,NaN,NaN,NaN,NaN,
Thor,NaN,NaN,NaN,NaN,
sra,NaN,NaN,NaN,NaN,
Cas,NaN,NaN,NaN,NaN,
fl(2)d,NaN,NaN,NaN,NaN,
Abi,NaN,NaN,0.7853,0.66149,
