Gene names,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha _day_1_1, Alpha _day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha _day_10_1, Alpha _day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_30_1, Alpha _day_30_2
Cp190,0.37376,0.44084,0.53965,0.34757,0.50271,0.50491,0.62432,0.6785,0.47423,0.52499,0.79884,0.56786,0.57552,0.46484,0.59355,0.56657
,0.41477,0.41194,0.476,0.43989,0.43204,0.43514,0.6212,0.63646,0.68214,0.70138,0.62613,0.69334,0.65563,0.67991,0.67546,0.6666
l(2)03709,1.5834,1.6122,1.5822,1.5068,1.5264,1.4056,1.4763,1.4534,1.5425,1.5338,1.5662,1.5159,1.5154,1.4745,1.5612,1.5017
CG9297-RA,1.0992,1.083,1.2466,0.98803,1.0275,0.98801,1.011,0.98242,1.0087,0.98807,1.0123,1.0599,0.94463,0.89568,0.97288,1.0211
Ance,0.35542,0.27146,0.40091,0.31218,0.3117,0.29332,1.0223,0.71341,0.99416,0.92324,1.2215,1.4592,0.867,0.9571,0.89279,0.94094
BcDNA.GH02384,1.5484,2.213,1.6048,1.5111,1.1444,1.4435,1.8515,1.6072,1.6508,1.9254,2.8091,2.3926,1.8065,1.9426,1.8598,1.4669
Zasp66,0.94638,0.94012,0.95046,0.65822,0.80399,0.65155,1.3796,1.4541,1.4676,1.4363,1.4661,1.5082,1.3715,1.2665,1.4116,1.508
04-Sep,0.4169,0.41088,0.70669,0.46591,0.40607,0.55164,0.6829,0.57988,NaN,0.45931,0.55706,0.55868,0.36617,0.47676,0.37679,0.42493
,0.50721,0.49699,0.56617,0.50635,0.67732,0.61051,0.4672,0.61843,0.55338,0.48886,0.55585,0.59335,0.45689,0.43016,0.46948,0.43632
,NaN,0.81442,0.80368,0.75892,0.56517,0.45415,NaN,1.0348,NaN,NaN,NaN,1.2638,1.0831,1.6451,1.1128,NaN
,1.0515,1.923,1.0858,NaN,0.87974,0.65514,0.70675,0.56964,0.46554,0.4973,0.66819,0.59855,0.51282,NaN,0.52662,0.5431
pain,0.40608,0.2358,1.1716,0.19017,0.31319,4.0644,3.1648,NaN,0.54219,0.52205,0.24952,0.38356,0.18004,0.24285,0.18481,0.70802
Rpi,0.79009,0.62822,0.7323,0.68327,0.59306,0.61894,1.1183,1.2691,0.97047,1.0643,0.91261,1.0995,1.1995,1.6541,1.2311,1.0365
Nmt,0.25253,0.28524,0.28491,0.30122,0.2507,0.29461,0.75893,0.74747,0.67407,0.68178,0.9524,0.98255,0.86623,0.66073,0.88901,0.58972
Uch-L5,0.54805,0.54707,0.61691,0.5282,0.597,0.50885,1.2258,1.0774,1.1351,1.1043,1.1506,1.1682,1.243,1.1521,1.2748,1.5331
l(1)G0255,0.78715,0.83739,0.8043,0.74802,0.81296,0.89907,0.53045,0.53178,0.59052,0.57567,0.64522,0.63091,0.54349,0.55873,0.55726,0.54325
anon-84Ea,1.016,0.84291,0.828,0.80561,0.82078,0.87311,1.1377,0.98883,0.89358,1.0419,0.98144,1.0907,1.2106,1.016,1.2405,1.208
wdb,0.32378,0.4306,0.38945,0.28752,0.36604,0.38824,0.47878,0.47461,0.46827,0.45389,0.51401,0.57138,0.41928,0.37567,0.42963,0.4488
jdp,0.91499,NaN,NaN,1.1046,1.3995,NaN,1.2404,NaN,1.1032,1.6041,1.0602,0.96093,0.6989,0.96133,0.71614,0.85916
trsn,1.1977,1.0605,1.432,0.9977,1.1377,1.271,1.84,1.7377,1.4775,2.114,NaN,NaN,1.8261,1.9106,1.8709,2.0134
sls,0.23461,0.18262,0.249,0.40396,0.37641,0.24034,0.25767,0.19959,0.25249,0.18169,0.27714,0.37591,0.25315,0.18209,0.25919,0.25012
B52,1.0769,1.1606,1.1895,1.2153,1.2325,1.1952,2.1271,2.0482,1.9974,2.1823,2.0177,1.9931,2.0726,1.8997,2.122,2.4201
CG18624-RB,2.9521,3.0091,2.1791,2.2713,3.0219,3.0518,1.9228,2.04,1.827,1.7833,2.2877,2.1299,1.8718,1.534,1.9162,1.8605
nec,2.3924,1.9745,2.0934,1.8562,2.2492,2.0894,1.9868,2.179,1.8266,1.9654,1.8211,2.0539,1.4556,1.4902,1.4901,1.4305
Adgf-D,0.84808,0.97352,1.2113,0.817,0.98691,0.90411,1.281,1.3202,1.0332,1.1126,1.0164,1.0723,0.99858,0.87683,1.0221,1.1785
,2.708,2.1527,2.573,6.0197,2.1074,1.7565,1.666,1.5705,1.2464,1.5646,1.1765,1.3785,1.0454,1.1294,1.0698,1.1606
Obp99b,0.28209,0.24455,0.22745,0.19439,0.2928,0.26072,1.3614,1.4165,1.764,1.8156,3.1323,3.2032,4.6915,4.7353,4.7997,4.7483
,2.3121,1.3927,1.3877,NaN,1.8978,1.7714,1.2793,1.0283,0.74755,1.2639,0.78351,3.3292,0.97583,1.0487,0.99762,1.7333
se,0.61681,0.61994,0.64376,0.47603,0.66151,0.69892,2.1534,2.5091,2.1063,2.3325,2.3703,2.5358,4.6013,4.5254,4.6994,6.972
Pdsw,3.3992,2.4692,2.7121,1.8502,2.7945,2.7434,1.7575,1.8724,1.8657,1.7811,2.5238,2.1468,1.8534,1.8069,1.8927,1.9011
eIF3-S6,0.17937,0.21872,0.33901,0.19744,0.21222,0.19498,0.42162,0.33607,0.44365,0.56916,0.59321,0.45475,0.43643,0.53026,0.44563,0.50775
Idgf2,0.49031,0.45338,0.47704,0.38456,0.44794,0.42723,0.78713,0.67955,0.72639,0.72976,0.73736,0.82338,0.602,0.5572,0.6143,0.57527
PRL-1,0.95617,0.9021,0.91629,0.97304,0.96943,1.0247,1.2411,1.1826,1.179,1.369,1.2076,1.0952,0.92821,0.99476,0.94667,1.1126
Pcd,1.2556,0.7813,1.2975,0.95136,1.0234,0.87341,1.5019,1.6768,1.3891,1.1113,1.181,1.5328,1.5094,1.7815,1.5384,1.3837
Uba1,0.056547,1.0153,0.060321,0.079056,0.075459,0.21229,0.15138,0.21487,0.1415,0.14726,0.11661,0.12489,0.13911,0.13968,0.14176,0.13691
Pep,0.28518,0.31366,0.32394,0.27995,0.30696,0.34563,0.69347,0.5884,0.55405,0.69408,0.54936,0.63003,0.58357,0.52817,0.59467,0.642
sun,3.9658,2.5915,3.4333,3.0116,2.5148,2.2837,1.8188,2.0645,2.0684,1.8235,1.6377,1.7634,1.6642,1.6192,1.6958,1.5127
Ubqn,1.8523,1.9707,1.6378,1.531,1.6522,1.5446,2.7339,2.9595,2.3838,2.2386,2.2779,2.5279,2.209,2.7061,2.2503,2.2676
nonA,0.8164,0.9074,0.88871,0.75684,0.96323,1.0012,1.7027,1.459,1.7102,1.5318,1.5995,1.4811,1.7479,1.5826,1.7798,1.6924
,0.81807,0.89361,1.0431,0.9031,0.98515,0.92996,0.344,0.30504,0.24478,0.26422,0.26589,0.25065,0.20991,0.21363,0.21373,0.21416
,0.88742,0.85178,0.94894,0.73069,0.82973,0.95026,0.51347,0.53724,0.54211,0.53087,0.5828,0.59407,0.50679,0.45928,0.516,0.52149
awd,1.5984,1.2474,1.4661,1.2451,1.2604,1.1958,1.3034,1.3328,1.3636,1.3041,1.2724,1.1856,1.4116,1.4124,1.4368,1.2247
,0.9488,1.0882,1.4295,0.77078,0.95312,0.98878,0.92504,0.99343,0.99484,1.074,1.0788,0.95001,0.93328,0.93237,0.94938,0.98078
Tim10,2.1101,1.4927,1.5437,NaN,1.4863,1.9482,2.0364,1.9283,2.0473,2.2107,2.4325,1.9951,2.155,2.2423,2.1916,2.0606
Cpr64Aa,0.38961,0.28437,0.16519,0.12858,0.17377,0.14594,1.6583,1.7577,1.5921,1.7678,2.1414,2.3207,2.3919,2.2336,2.4325,2.4621
,0.52297,1.6905,0.76828,0.53884,0.91755,0.64549,0.77976,0.85063,1.6628,1.2656,0.77324,0.84932,0.64526,0.65172,0.65567,0.77181
Rpn9,0.35398,0.48729,0.45407,0.37578,0.39942,0.41225,0.97469,0.96378,1.0589,1.105,1.0314,1.0281,0.97675,1.1806,0.9917,1.0862
Scsalpha,0.91598,1.0685,0.98334,1.0208,1.0932,1.1421,0.56599,0.6607,0.64687,0.62633,0.69103,0.66681,0.57913,0.53724,0.58717,0.54117
Vha16-1,1.4058,1.3187,2.6532,1.4176,2.1663,1.9915,1.4627,1.5843,2.1761,1.7572,2.2762,1.7963,1.6734,1.4393,1.6958,1.3479
Got1,1.8099,2.1137,2.3137,2.1694,2.4626,2.2692,1.145,1.273,1.0455,1.0783,1.0327,1.0204,1.085,1.1364,1.0994,1.1236
Lsp1beta,0.49432,0.5146,0.80689,0.72308,0.27041,0.26406,1.5876,1.5643,2.6085,2.7097,2.5894,2.9349,3.1269,3.5671,3.1679,3.1225
REG,0.53158,0.70367,0.89149,0.9726,0.75104,0.79937,1.4727,1.2653,1.551,1.352,1.6458,1.0912,1.3518,1.4304,1.3684,1.2457
Arr2,0.40241,0.4396,0.64876,0.56147,0.55962,0.59331,0.42852,0.42055,0.48495,0.49263,0.41901,0.42804,0.44371,0.3962,0.44896,0.42019
Manf,1.3,1.0874,1.1881,0.8262,1.0166,1.2318,1.3155,1.8446,1.4501,1.4978,1.8728,1.5981,1.8101,1.7532,1.8312,1.9677
CG12264,0.88387,0.75164,0.80116,0.68836,0.91442,0.77734,0.63978,0.6666,0.54515,0.68657,0.67258,0.76274,0.50529,0.45676,0.51116,0.67097
Nplp2,0.97888,1.0014,0.98541,0.98607,1.2871,1.3409,0.55902,0.87709,0.75084,0.75372,0.90466,0.92673,1.0383,1.3006,1.0491,0.58784
CSN8,0.94674,0.88438,0.69119,NaN,0.79793,0.68053,1.2676,1.1366,1.0063,1.0013,NaN,NaN,1.1926,1.5248,1.205,1.2339
shot,0.13677,0.16452,0.13115,0.11331,0.12417,0.12447,0.21782,0.18505,0.18422,0.20083,0.23434,0.22533,0.14141,0.1329,0.14286,0.19899
Sucb,0.40376,0.37464,0.414,0.27747,0.40961,0.34069,0.61007,0.56398,0.66338,0.64536,0.59262,0.61471,0.59294,0.61259,0.59896,0.66829
capt,0.38202,0.40196,0.38424,0.33456,0.35967,0.38612,0.70681,0.73935,0.73284,0.68547,0.69564,0.71419,0.62365,0.62719,0.62997,0.68082
VhaAC39-1,0.48111,0.51412,0.68396,0.49643,0.51028,0.55003,0.51309,0.47222,0.47387,0.44975,0.45581,0.47847,0.39427,0.33864,0.39818,0.43928
Hsc70-4,0.25819,0.2477,0.25533,0.23807,0.24712,0.28174,0.50281,0.49398,0.5143,0.50622,0.5003,0.50189,0.47918,0.4581,0.48389,0.46732
CG8386,1.0721,1.0657,0.68309,0.70253,0.82116,0.88575,1.2249,1.1486,1.3845,1.231,1.1881,0.88656,1.1582,1.2685,1.1691,1.1528
,3.0902,2.183,2.5316,2.0149,2.2176,2.0872,2.132,2.4289,2.1048,2.0917,2.2396,1.9899,2.2005,2.1121,2.2211,2.124
Pros26,0.7492,0.70495,0.85714,0.75817,0.60851,0.70445,1.336,1.3831,1.4822,1.3578,1.5584,1.6144,1.5816,1.4599,1.5956,1.6034
l(1)G0230,4.9789,3.7406,3.8812,2.6615,2.9647,3.2347,1.7472,1.8255,1.831,1.6249,2.018,1.9962,1.8319,1.8954,1.8472,1.8424
tomosyn,0.30038,0.39586,0.42518,0.45324,0.57486,NaN,0.32491,0.5993,0.23119,0.48047,0.33502,0.14653,0.31325,0.218,0.31544,0.44848
stnA,2.1119,2.0375,2.5058,1.9544,1.8742,1.6954,1.8428,1.5121,1.87,1.7313,1.6306,1.3666,1.4498,1.3713,1.4598,1.5277
,NaN,NaN,NaN,NaN,0.46872,0.48931,0.30807,0.67785,NaN,0.24953,NaN,NaN,0.28995,NaN,0.29181,NaN
CG2263,1.0448,0.95404,1.0951,0.91648,0.9994,0.99408,1.3555,1.3734,1.429,1.3862,1.3535,1.3995,1.3266,1.3433,1.3348,1.4228
Cyt-b5,1.5108,1.2712,1.5412,1.1849,1.1657,1.2758,1.437,1.4468,1.405,1.4881,1.6232,1.5072,1.3667,1.4087,1.3751,1.4416
coro,0.20567,0.23566,0.23736,0.30142,0.22179,0.23041,0.59721,0.6538,0.71748,0.68567,0.7511,0.67669,0.77855,0.76274,0.78307,0.79653
yellow-c,1.4901,1.3516,1.4149,1.173,1.239,1.2213,3.4838,3.7796,3.5285,3.173,3.7978,3.7707,3.8809,3.6279,3.9017,4.0083
l(1)G0289,1.3656,1.8969,1.0654,4.4587,1.3389,1.189,2.4003,NaN,1.9036,2.3744,2.1935,2.081,2.1922,2.0864,2.2023,NaN
Pros35,0.62223,0.51533,0.62514,0.54476,0.53623,0.55265,1.0963,1.0923,1.2952,1.2511,1.2968,1.2512,1.3651,1.1895,1.3707,1.4044
CAP,0.67647,0.44385,0.61917,0.66631,0.6969,0.59904,0.68615,0.51238,0.69836,0.59588,0.62023,0.48399,0.60952,0.54248,0.61198,0.56901
Letm1,1.8372,2.1408,1.9746,1.7994,2.0876,1.9962,1.6923,1.866,1.7337,1.8911,1.7755,1.5909,1.6237,1.6429,1.6296,1.7525
Pros25,0.81062,0.70147,0.80766,0.712,0.67826,0.80202,1.5702,1.6477,1.6263,1.4209,1.7487,1.6966,1.7526,2.0315,1.7587,1.7402
Dpt,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07318,0.056275,0.073348,0.097105
CG10639-RA,0.55469,0.62358,0.67378,0.58301,0.69921,0.67471,0.44555,0.5555,0.32959,0.41781,0.43468,0.41339,0.4027,0.49189,0.40357,0.41302
,0.81041,0.72685,0.69409,0.73928,0.57779,0.44666,0.94535,1.0328,1.1134,0.90372,0.90692,0.86294,0.64177,0.55434,0.64302,0.65056
Egm,0.33185,0.39975,0.41506,0.37011,0.35352,0.38683,0.48066,0.43811,0.47518,0.44402,0.40551,0.35827,0.38995,0.32982,0.39068,0.47581
CG33672-RA,1.1205,1.0106,0.9448,NaN,0.85985,0.7856,1.6001,1.2885,1.2666,1.3496,1.0591,0.9971,1.346,NaN,1.3484,1.2551
BcDNA.GH02220,1.348,1.1452,1.3633,0.98676,1.4549,1.3622,1.3424,1.3325,1.1998,1.4141,1.5916,1.6342,2.0491,2.1474,2.0524,1.8936
ref(2)P,1.1837,1.4576,NaN,0.92229,1.2861,1.1567,0.58723,0.91487,0.87575,0.98885,0.66205,0.72076,0.33881,0.37851,0.33935,0.35155
GckIII,0.47312,0.47008,0.27489,0.3852,1.4788,0.8846,0.66173,0.48986,NaN,0.51107,0.62268,0.75216,0.75951,NaN,0.7602,0.65247
,3.9344,3.6831,3.9468,3.4436,3.1507,3.5419,2.3942,2.8164,2.277,2.3035,2.0025,1.9893,1.7885,1.7572,1.7897,2.1118
TpnC25D,3.6217,2.7548,3.5238,3.1276,2.9326,3.0213,2.8486,3.02,2.7086,2.601,2.4802,2.5492,2.2828,2.3355,2.2831,2.503
ATPsyn-d,2.5336,2.2804,2.1841,1.7759,2.1292,2.3784,1.4037,1.4611,1.4421,1.4787,1.6347,1.6406,1.6189,1.5054,1.6184,1.4527
AP-2mu,0.40926,0.55332,0.534,0.52699,0.56932,0.53499,0.57018,0.49011,0.52115,0.53997,0.56906,0.57726,0.4386,0.43815,0.4379,0.49473
,1.4573,1.593,1.3806,1.1839,1.5165,1.3183,1.0821,1.0634,1.0825,1.0856,1.0692,1.1228,0.73599,0.7336,0.73431,0.76136
Cyp1,1.2094,0.96681,1.0476,0.89868,1.0542,1.1875,1.3211,1.1633,1.2226,1.2033,1.2006,1.1679,1.1607,1.1014,1.1571,1.3072
ergic53,0.68988,0.81968,0.74742,0.65517,0.69503,0.75259,1.3688,1.4609,1.4628,1.2696,1.5598,1.7203,1.4961,NaN,1.4908,1.5394
exba,0.28304,0.33684,0.33677,0.25247,0.34167,0.40777,0.74222,0.7293,0.71436,0.75647,0.81263,0.77291,0.80621,0.85439,0.80328,0.73277
Atox1,2.2296,1.8106,2.575,NaN,2.1151,2.0457,1.7648,2.0596,1.854,1.6588,1.7314,1.6446,2.2209,2.2634,2.2127,2.0512
fau,1.6718,1.4077,1.5008,1.3098,1.1442,1.1645,2.9375,2.6406,3.1567,3.2679,3.0391,3.1336,2.9531,2.6986,2.942,2.8398
Prosalpha7,0.73759,0.63059,0.67665,0.74042,0.66575,0.61216,1.3816,1.3753,1.4437,1.237,1.47,1.3827,1.3456,1.5209,1.3403,1.6158
rgn,1.4725,1.6018,1.2765,1.0379,1.2537,1.4163,1.9818,1.7952,1.9884,1.8696,2.1062,1.8746,1.7551,1.5431,1.748,1.8832
CG3961-RD;CG3961-RA,0.16801,0.20107,0.31116,0.19829,0.19912,0.2183,0.22922,0.24876,0.2167,0.24392,0.22449,0.19091,0.24989,0.2362,0.24885,0.2286
sgg,0.35928,0.35567,0.54268,0.44597,0.42054,0.44739,0.48199,0.43931,0.46523,0.44599,0.50673,0.50538,0.38677,0.38022,0.38497,0.40837
Rh50,0.74995,0.62639,2.527,0.80955,0.93567,1.1482,0.66834,0.62255,1.0059,NaN,0.84,1.0436,0.6857,0.55811,0.68234,0.54803
Hel25E,0.33532,0.39935,0.4413,0.39476,0.39832,0.43861,0.71951,0.6805,0.54362,0.76956,0.73717,0.77169,0.64643,0.73321,0.64326,0.67256
CG1513-RA,0.42455,0.71284,0.37743,NaN,NaN,0.45909,0.45108,0.44474,0.40972,0.48697,0.56468,0.53968,0.36638,0.33112,0.36456,1.3391
,0.72144,0.78378,1.0865,1.6087,0.75928,0.85695,0.71509,0.76274,0.94436,0.75091,0.96081,0.759,0.71915,0.73067,0.71546,0.79093
Rho1,0.56774,0.56696,0.77935,0.54775,0.86307,0.64441,0.73209,0.7932,0.78496,0.89682,0.78356,0.6635,0.65147,0.68219,0.64809,0.71411
janA,1.2604,1.0599,1.4827,1.0763,1.0823,0.90834,1.313,1.2381,1.3173,1.445,1.2443,1.5349,1.3421,1.3668,1.335,1.15
,0.37433,0.3655,15.817,NaN,0.4365,0.41089,NaN,0.27364,0.38894,0.96543,0.36633,0.46593,0.44785,0.37059,0.44543,0.4446
CkIIalpha,0.64039,0.88599,0.84559,0.88746,1.0138,0.81959,1.2701,1.0962,1.0694,1.1654,1.018,1.2255,1.1876,1.0212,1.1804,1.2535
und,0.17662,0.23397,0.21745,0.19801,0.29327,0.31365,0.33453,0.54235,0.48736,0.35158,0.39805,0.25034,0.39523,0.44796,0.39273,0.54833
Phm,1.581,1.2177,NaN,1.2307,1.6212,1.251,1.5185,1.4591,1.2365,1.2724,1.5852,1.2719,1.0952,1.3736,1.0881,2.4372
CG34327-RA,0.51054,0.34492,0.42607,0.26865,0.32895,0.28508,1.5243,1.5814,1.5407,1.4316,1.7521,1.73,2.0092,2.3637,1.9961,2.2402
,0.25688,0.21979,0.26313,0.24191,0.24245,0.24366,1.0553,1.077,0.98682,1.0781,1.3029,0.99023,1.9232,1.6073,1.9104,2.4219
,1.8545,1.95,1.7236,1.5041,4.2242,3.1066,0.58012,0.65068,0.48066,0.47583,0.7237,0.73512,1.1648,1.1053,1.157,1.3524
,1.4621,1.258,0.61442,0.60573,0.84,0.83372,3.0871,3.6938,3.4012,3.1033,3.1882,3.3713,3.4515,3.3607,3.4283,3.3843
Hrb98DE,1.5953,1.3843,1.4321,1.1639,1.402,1.3714,2.4876,2.5568,2.6374,2.4555,2.461,2.3355,2.5842,2.7458,2.5653,2.5374
Bsg,1.5787,1.5211,1.8319,1.3019,1.8514,1.4616,1.446,1.4386,1.4351,1.461,1.6018,1.4615,1.2064,1.226,1.1972,1.4041
,1.8742,2.4711,2.6793,1.8926,1.7048,2.3079,1.1801,1.2524,0.80631,1.2515,1.3997,1.4241,1.474,1.2338,1.4626,1.3854
mbf1,0.68532,0.54693,0.57731,0.44435,0.55457,0.50734,0.95704,0.9112,1.2122,1.0504,1.1724,1.1196,1.0925,0.79057,1.0839,1.1943
,0.55199,0.61185,0.60524,0.66338,0.67702,0.58591,0.98237,0.90416,0.79768,0.99624,0.79035,0.92868,0.91876,0.86581,0.91139,1.0036
CG9603,3.8292,3.0368,3.8916,3.385,2.9579,2.8382,2.4465,2.5621,2.5487,2.2957,2.1609,2.0016,1.9446,1.9941,1.9282,1.9026
CG6950-RC,0.66766,0.77222,0.68623,0.6324,0.74759,0.6633,0.64762,0.51073,0.45245,0.51913,0.41962,0.49743,0.41042,0.42151,0.40693,0.41443
,0.76612,0.90889,0.97576,0.83279,0.92406,0.93543,0.8389,0.79685,0.73066,0.78599,0.69322,0.67645,0.88217,0.97141,0.87445,0.99935
Roe1,0.84948,0.83531,0.8268,0.62586,0.68902,0.84348,0.91511,0.99783,0.98715,1.1933,0.96563,0.97873,1.1193,1.2433,1.1093,1.1947
,0.47019,0.40857,0.44048,0.36901,0.30299,0.41051,1.06,1.0971,1.087,1.1728,1.2543,1.2085,1.0963,1.1257,1.0865,1.1887
Rpn5,0.10593,0.1356,0.11508,0.14474,0.10136,0.13294,0.2646,0.25023,0.30569,0.24607,0.31507,0.28704,0.34076,0.3584,0.33767,0.31279
Mlc1,1.4133,1.3013,1.1493,1.1992,1.1899,1.0224,1.0162,0.9568,0.91453,0.93593,1.0552,1.151,0.97518,1.095,0.96503,0.99806
,0.69076,0.88583,0.6867,0.63992,0.67103,0.69427,0.75849,0.67327,0.79284,0.74478,0.72489,0.80169,0.62687,0.63121,0.62019,0.76479
Nrg,0.70779,0.68625,0.77605,0.68684,0.68938,0.72723,1.133,1.1098,1.1112,1.1406,1.0752,1.0074,0.98029,0.93917,0.96954,1.0077
,2.2502,1.7225,1.9684,1.6126,1.6751,1.6329,0.74133,0.73017,0.50223,0.57828,0.45123,0.4998,0.49013,0.48562,0.48465,0.43382
nop5,0.38743,0.4802,0.62762,0.37843,0.42554,0.40124,1.2297,0.55436,0.85426,0.73508,0.96911,0.73146,0.62698,0.61098,0.61979,0.6422
CG3107,0.14977,0.22741,0.27099,0.29661,0.21688,0.28382,0.22841,0.17788,0.23762,0.25561,0.23237,0.29157,0.27149,0.22463,0.2683,0.28132
CG16817,0.75705,0.77703,0.78616,0.67127,0.70078,0.71932,1.1953,1.2837,1.1311,1.3102,1.261,1.1991,1.3622,1.5982,1.3454,1.4538
Pgk,0.94825,0.93764,0.97463,0.9488,1.0301,0.99055,0.58305,0.5997,0.60446,0.60051,0.66775,0.66858,0.66936,0.60976,0.66102,0.60729
ben,1.1112,1.215,1.2839,0.96144,1.1402,1.1841,1.3426,1.4443,1.3714,1.4689,1.3552,1.3146,1.34,1.2998,1.3231,1.3208
Lsd-2,0.45957,0.51402,0.54892,0.42114,0.47561,0.50621,0.63616,0.569,0.61751,0.48215,0.70201,0.68075,0.6288,0.75055,0.62063,0.73119
mtacp1,4.299,3.2506,2.3804,2.595,2.6388,3.3687,1.6305,1.8339,1.5381,1.718,1.8671,1.7868,1.7852,1.5073,1.7617,2.0307
CG6972-RA,0.33093,0.28308,0.28021,0.26348,0.33115,0.32972,0.76759,0.92828,1.0147,1.3215,1.1514,1.0155,0.88806,1.0942,0.87623,0.78808
nmd,0.43833,NaN,NaN,0.40226,0.37337,NaN,0.80943,NaN,NaN,NaN,NaN,NaN,0.55079,NaN,0.54339,NaN
CG4692,3.8735,3.7628,2.9129,3.6208,4.3113,4.1658,2.3548,2.3564,2.3775,2.5837,2.6315,2.6236,2.6363,2.5497,2.6003,2.7377
VhaSFD,0.41183,0.44691,0.57583,0.5229,0.53956,0.5321,0.45629,0.45723,0.42654,0.40162,0.38936,0.43462,0.36075,0.31169,0.35572,0.36575
CG5174-RA,1.7327,1.459,1.5784,1.4237,1.4374,1.2627,1.9012,1.8807,1.6295,1.7977,1.5621,1.6775,1.5909,1.7433,1.5686,1.7125
l(2)06225,2.1001,2.0434,1.9109,1.2407,1.8377,1.5468,1.1719,1.2654,1.2103,1.4094,1.332,1.447,1.4231,1.1228,1.4027,1.2791
Pdh,1.0038,0.91981,1.074,1.008,0.96243,1.19,0.57492,0.59903,0.54233,0.52042,0.50198,0.5174,0.5793,0.56642,0.57091,0.49921
tau,1.7848,1.2931,1.613,1.4304,1.4543,1.7714,1.8122,1.8126,1.9164,1.7865,1.7439,1.7531,1.5875,1.5513,1.5635,1.6372
ps,0.53208,0.4406,0.5885,0.47102,0.45296,0.48984,0.82587,0.84201,0.86915,0.86566,0.8645,0.84943,0.98807,0.91788,0.9731,0.96423
,0.63735,0.60327,0.22374,0.12995,0.21744,0.17717,1.4611,1.4724,0.91404,0.95049,2.214,2.1899,2.7936,2.7081,2.75,2.5849
,3.0357,3.1572,2.7043,2.2626,2.2183,3.1205,1.9879,1.9265,1.688,1.9973,2.1199,2.3885,1.6502,1.6672,1.623,1.6627
wdp,2.7239,3.1538,1.2899,2.7417,2.0609,2.6181,1.7739,1.782,1.6418,1.954,1.7392,1.7358,1.4121,1.491,1.3887,1.4628
TER94,0.19494,0.19751,0.21893,0.18615,0.20478,0.22305,0.38256,0.36086,0.36527,0.3998,0.38346,0.40081,0.37771,0.37725,0.37122,0.3858
CG5412,0.82609,NaN,0.65158,2.0371,0.74892,0.90097,0.87088,0.69933,0.59156,NaN,0.6833,0.92744,0.57843,0.65826,0.56808,0.63592
fau,0.56694,0.50392,0.40073,0.36816,0.43224,0.41691,1.1917,1.331,1.215,1.2325,1.2019,1.3032,1.2189,1.1405,1.197,1.3045
Spase22-23,1.2656,1.3078,1.2513,1.1371,1.2239,1.2531,1.8918,1.6897,1.5682,3.0605,1.7842,1.7917,1.6276,2.1147,1.598,1.6419
Mdh2,1.3709,1.2045,1.3161,1.1103,1.298,1.3485,0.75432,0.6675,0.73322,0.68391,0.74902,0.66786,0.64402,0.70931,0.63226,0.66781
path,0.50113,NaN,0.72203,NaN,NaN,0.71846,0.82149,NaN,0.56593,NaN,0.8741,0.5639,0.50256,0.44706,0.49329,0.60709
Rad23,0.50068,0.53391,0.5592,0.46374,0.44676,0.4452,0.96221,1.0171,0.8589,0.8424,0.99131,0.89968,0.99589,1.0484,0.97725,0.85269
Spn27A,2.0892,1.4505,1.9206,1.5353,1.9748,2.044,2.7294,2.7467,2.1995,2.6375,2.1177,2.5209,2.0019,2.1401,1.9644,2.0154
Eno,1.1027,1.1097,0.98279,0.94502,1.0812,1.0702,0.65233,0.64006,0.65633,0.64138,0.71089,0.72842,0.7021,0.65132,0.68865,0.68765
blp,2.8684,2.509,2.0831,1.7854,2.492,2.411,2.0331,2.2738,2.0546,2.5828,2.2292,2.1495,2.6242,2.7248,2.573,3.5237
Lasp,0.48059,0.4085,0.50819,0.34515,0.46531,0.40171,0.58773,0.53957,0.63984,0.50254,0.6721,0.471,0.63954,0.66164,0.62703,0.67801
,1.3414,1.4241,1.6893,1.5037,1.303,1.3548,0.9374,0.97149,0.9329,0.91185,0.83448,0.88771,0.79947,0.74364,0.78355,0.82196
,1.3593,1.5779,1.878,1.1216,1.5775,1.5796,1.3397,1.4168,1.3685,1.4411,1.3275,1.2675,1.17,1.1258,1.1467,1.1704
Pp2B-14D,0.52632,0.53299,0.60939,0.56846,0.60854,0.56447,0.50545,0.52794,0.49666,0.62268,0.53655,0.4615,0.48592,0.444,0.47619,0.5526
scu,1.2973,1.1919,1.5787,1.1344,1.7339,1.3407,1.0838,1.0439,0.89938,0.78281,0.90779,0.87027,0.84033,0.87704,0.82307,0.86153
wupA,3.0975,2.6742,3.2198,2.5141,2.5941,2.5527,2.301,2.0443,4.7664,1.9867,1.5611,1.6975,1.8489,1.7328,1.8104,1.6514
,NaN,2.1446,3.9836,2.6211,NaN,NaN,1.6192,1.7205,1.3161,2.109,1.723,NaN,1.0009,1.2166,0.97981,NaN
