Gene names, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha _day_10_1, Alpha _day_10_2
Cpr64Aa,1.6583,1.7577,1.5921,1.7678,2.1414,2.3207
,0.77976,0.85063,1.6628,1.2656,0.77324,0.84932
Rpn9,0.97469,0.96378,1.0589,1.105,1.0314,1.0281
Scsalpha,0.56599,0.6607,0.64687,0.62633,0.69103,0.66681
Vha16-1,1.4627,1.5843,2.1761,1.7572,2.2762,1.7963
Got1,1.145,1.273,1.0455,1.0783,1.0327,1.0204
Lsp1beta,1.5876,1.5643,2.6085,2.7097,2.5894,2.9349
REG,1.4727,1.2653,1.551,1.352,1.6458,1.0912
Arr2,0.42852,0.42055,0.48495,0.49263,0.41901,0.42804
Manf,1.3155,1.8446,1.4501,1.4978,1.8728,1.5981
CG12264,0.63978,0.6666,0.54515,0.68657,0.67258,0.76274
Nplp2,0.55902,0.87709,0.75084,0.75372,0.90466,0.92673
CSN8,1.2676,1.1366,1.0063,1.0013,NaN,NaN
shot,0.21782,0.18505,0.18422,0.20083,0.23434,0.22533
Sucb,0.61007,0.56398,0.66338,0.64536,0.59262,0.61471
capt,0.70681,0.73935,0.73284,0.68547,0.69564,0.71419
VhaAC39-1,0.51309,0.47222,0.47387,0.44975,0.45581,0.47847
Hsc70-4,0.50281,0.49398,0.5143,0.50622,0.5003,0.50189
CG8386,1.2249,1.1486,1.3845,1.231,1.1881,0.88656
,2.132,2.4289,2.1048,2.0917,2.2396,1.9899
Pros26,1.336,1.3831,1.4822,1.3578,1.5584,1.6144
l(1)G0230,1.7472,1.8255,1.831,1.6249,2.018,1.9962
tomosyn,0.32491,0.5993,0.23119,0.48047,0.33502,0.14653
stnA,1.8428,1.5121,1.87,1.7313,1.6306,1.3666
,0.30807,0.67785,NaN,0.24953,NaN,NaN
CG2263,1.3555,1.3734,1.429,1.3862,1.3535,1.3995
Cyt-b5,1.437,1.4468,1.405,1.4881,1.6232,1.5072
coro,0.59721,0.6538,0.71748,0.68567,0.7511,0.67669
yellow-c,3.4838,3.7796,3.5285,3.173,3.7978,3.7707
l(1)G0289,2.4003,NaN,1.9036,2.3744,2.1935,2.081
Pros35,1.0963,1.0923,1.2952,1.2511,1.2968,1.2512
CAP,0.68615,0.51238,0.69836,0.59588,0.62023,0.48399
Letm1,1.6923,1.866,1.7337,1.8911,1.7755,1.5909
Pros25,1.5702,1.6477,1.6263,1.4209,1.7487,1.6966
Dpt,NaN,NaN,NaN,NaN,NaN,NaN
CG10639-RA,0.44555,0.5555,0.32959,0.41781,0.43468,0.41339
,0.94535,1.0328,1.1134,0.90372,0.90692,0.86294
Egm,0.48066,0.43811,0.47518,0.44402,0.40551,0.35827
CG33672-RA,1.6001,1.2885,1.2666,1.3496,1.0591,0.9971
BcDNA.GH02220,1.3424,1.3325,1.1998,1.4141,1.5916,1.6342
ref(2)P,0.58723,0.91487,0.87575,0.98885,0.66205,0.72076
GckIII,0.66173,0.48986,NaN,0.51107,0.62268,0.75216
,2.3942,2.8164,2.277,2.3035,2.0025,1.9893
TpnC25D,2.8486,3.02,2.7086,2.601,2.4802,2.5492
ATPsyn-d,1.4037,1.4611,1.4421,1.4787,1.6347,1.6406
AP-2mu,0.57018,0.49011,0.52115,0.53997,0.56906,0.57726
,1.0821,1.0634,1.0825,1.0856,1.0692,1.1228
Cyp1,1.3211,1.1633,1.2226,1.2033,1.2006,1.1679
ergic53,1.3688,1.4609,1.4628,1.2696,1.5598,1.7203
exba,0.74222,0.7293,0.71436,0.75647,0.81263,0.77291
Atox1,1.7648,2.0596,1.854,1.6588,1.7314,1.6446
fau,2.9375,2.6406,3.1567,3.2679,3.0391,3.1336
Prosalpha7,1.3816,1.3753,1.4437,1.237,1.47,1.3827
rgn,1.9818,1.7952,1.9884,1.8696,2.1062,1.8746
CG3961-RD;CG3961-RA,0.22922,0.24876,0.2167,0.24392,0.22449,0.19091
sgg,0.48199,0.43931,0.46523,0.44599,0.50673,0.50538
Rh50,0.66834,0.62255,1.0059,NaN,0.84,1.0436
Hel25E,0.71951,0.6805,0.54362,0.76956,0.73717,0.77169
CG1513-RA,0.45108,0.44474,0.40972,0.48697,0.56468,0.53968
,0.71509,0.76274,0.94436,0.75091,0.96081,0.759
Rho1,0.73209,0.7932,0.78496,0.89682,0.78356,0.6635
janA,1.313,1.2381,1.3173,1.445,1.2443,1.5349
,NaN,0.27364,0.38894,0.96543,0.36633,0.46593
CkIIalpha,1.2701,1.0962,1.0694,1.1654,1.018,1.2255
und,0.33453,0.54235,0.48736,0.35158,0.39805,0.25034
Phm,1.5185,1.4591,1.2365,1.2724,1.5852,1.2719
CG34327-RA,1.5243,1.5814,1.5407,1.4316,1.7521,1.73
,1.0553,1.077,0.98682,1.0781,1.3029,0.99023
,0.58012,0.65068,0.48066,0.47583,0.7237,0.73512
,3.0871,3.6938,3.4012,3.1033,3.1882,3.3713
Hrb98DE,2.4876,2.5568,2.6374,2.4555,2.461,2.3355
Bsg,1.446,1.4386,1.4351,1.461,1.6018,1.4615
,1.1801,1.2524,0.80631,1.2515,1.3997,1.4241
mbf1,0.95704,0.9112,1.2122,1.0504,1.1724,1.1196
,0.98237,0.90416,0.79768,0.99624,0.79035,0.92868
CG9603,2.4465,2.5621,2.5487,2.2957,2.1609,2.0016
CG6950-RC,0.64762,0.51073,0.45245,0.51913,0.41962,0.49743
,0.8389,0.79685,0.73066,0.78599,0.69322,0.67645
Roe1,0.91511,0.99783,0.98715,1.1933,0.96563,0.97873
,1.06,1.0971,1.087,1.1728,1.2543,1.2085
Rpn5,0.2646,0.25023,0.30569,0.24607,0.31507,0.28704
Mlc1,1.0162,0.9568,0.91453,0.93593,1.0552,1.151
,0.75849,0.67327,0.79284,0.74478,0.72489,0.80169
Nrg,1.133,1.1098,1.1112,1.1406,1.0752,1.0074
,0.74133,0.73017,0.50223,0.57828,0.45123,0.4998
nop5,1.2297,0.55436,0.85426,0.73508,0.96911,0.73146
CG3107,0.22841,0.17788,0.23762,0.25561,0.23237,0.29157
CG16817,1.1953,1.2837,1.1311,1.3102,1.261,1.1991
Pgk,0.58305,0.5997,0.60446,0.60051,0.66775,0.66858
ben,1.3426,1.4443,1.3714,1.4689,1.3552,1.3146
Lsd-2,0.63616,0.569,0.61751,0.48215,0.70201,0.68075
mtacp1,1.6305,1.8339,1.5381,1.718,1.8671,1.7868
CG6972-RA,0.76759,0.92828,1.0147,1.3215,1.1514,1.0155
nmd,0.80943,NaN,NaN,NaN,NaN,NaN
CG4692,2.3548,2.3564,2.3775,2.5837,2.6315,2.6236
VhaSFD,0.45629,0.45723,0.42654,0.40162,0.38936,0.43462
CG5174-RA,1.9012,1.8807,1.6295,1.7977,1.5621,1.6775
l(2)06225,1.1719,1.2654,1.2103,1.4094,1.332,1.447
Pdh,0.57492,0.59903,0.54233,0.52042,0.50198,0.5174
tau,1.8122,1.8126,1.9164,1.7865,1.7439,1.7531
ps,0.82587,0.84201,0.86915,0.86566,0.8645,0.84943
,1.4611,1.4724,0.91404,0.95049,2.214,2.1899
,1.9879,1.9265,1.688,1.9973,2.1199,2.3885
wdp,1.7739,1.782,1.6418,1.954,1.7392,1.7358
TER94,0.38256,0.36086,0.36527,0.3998,0.38346,0.40081
CG5412,0.87088,0.69933,0.59156,NaN,0.6833,0.92744
fau,1.1917,1.331,1.215,1.2325,1.2019,1.3032
Spase22-23,1.8918,1.6897,1.5682,3.0605,1.7842,1.7917
Mdh2,0.75432,0.6675,0.73322,0.68391,0.74902,0.66786
path,0.82149,NaN,0.56593,NaN,0.8741,0.5639
Rad23,0.96221,1.0171,0.8589,0.8424,0.99131,0.89968
Spn27A,2.7294,2.7467,2.1995,2.6375,2.1177,2.5209
Eno,0.65233,0.64006,0.65633,0.64138,0.71089,0.72842
blp,2.0331,2.2738,2.0546,2.5828,2.2292,2.1495
Lasp,0.58773,0.53957,0.63984,0.50254,0.6721,0.471
,0.9374,0.97149,0.9329,0.91185,0.83448,0.88771
,1.3397,1.4168,1.3685,1.4411,1.3275,1.2675
Pp2B-14D,0.50545,0.52794,0.49666,0.62268,0.53655,0.4615
scu,1.0838,1.0439,0.89938,0.78281,0.90779,0.87027
wupA,2.301,2.0443,4.7664,1.9867,1.5611,1.6975
,1.6192,1.7205,1.3161,2.109,1.723,NaN
Cpr76Bd,1.4701,1.6574,1.3493,1.3422,1.3344,1.4623
,0.53984,0.50803,0.4998,0.5315,0.53524,0.54847
Ucrh,2.285,1.4345,1.6228,1.3315,1.8076,2.1397
uex,0.5361,0.44899,0.48466,0.46237,0.48796,0.57973
Caps,0.25136,0.17082,0.25698,0.33076,0.27262,0.28051
,2.7227,2.7426,2.8151,2.7392,2.441,2.7717
5PtaseI,0.35879,0.32716,0.28998,0.30041,0.3591,0.54777
Unc-115b;Unc-115a,0.26101,0.36123,0.33682,0.30293,0.23749,0.25827
,1.1157,1.1623,1.042,1.0654,1.0497,1.1048
trp,0.37178,0.38822,0.33965,0.35679,0.37988,0.38077
vps24,1.6591,1.7719,1.5407,1.91,1.4753,1.576
betaCop,0.37765,0.34267,0.39058,0.39488,0.40762,0.35865
,1.8002,1.7862,1.8591,2.0484,2.0696,1.8979
Vha36-3,2.0055,2.3245,2.4364,2.4612,3.0082,1.73
,0.80153,0.83055,0.89628,0.87451,0.92711,0.88573
Pros29,1.0943,1.0273,1.1539,1.1085,1.1559,1.1517
CG3842-RA,NaN,NaN,NaN,NaN,0.41488,0.31803
,0.50252,0.5939,0.5161,0.56195,0.49228,0.46362
eIF3-S10,0.49498,0.46099,0.52034,0.5521,0.46385,0.54218
Ugt86Da,2.809,3.1367,2.3919,2.445,2.4381,2.5156
,1.812,1.7007,1.9551,1.9374,1.9514,1.6722
,1.3676,1.1349,1.0558,1.2582,1.4248,1.4591
lost,0.67734,0.68379,0.7257,0.72033,0.80567,0.71563
CG2145,1.2734,1.1778,1.371,1.1148,1.0602,1.083
CaBP1,0.86978,0.88235,0.90171,0.95862,1.2085,1.0514
Tim13,1.8051,2.1746,2.7134,2.1699,2.1808,2.1456
Hrs,0.83719,0.6098,0.85159,0.69868,0.61223,0.7808
Vinc,0.33008,0.34027,0.31789,0.32262,0.3488,0.36849
NLaz,1.798,1.589,1.922,1.9476,2.0184,2.2547
DppIII,0.5081,0.43422,0.41773,0.49651,0.49068,0.5072
TSG101,0.6279,0.82959,0.75906,0.83749,NaN,0.90884
Ncc69,0.3154,0.36552,0.28819,0.32085,0.39546,0.29183
yip2,0.89435,0.82778,0.7065,0.7279,0.77981,0.78419
Fatp,0.78782,0.74057,0.62227,0.65579,0.79591,0.82162
zip,0.37992,0.41345,0.36841,0.39919,0.37224,0.37844
Cyp12b2,0.57646,NaN,0.30557,NaN,0.35831,NaN
Vha68-1,0.76618,0.79258,0.80859,0.76935,0.78234,0.80339
Sar1,1.0873,1.0371,1.0759,1.1867,1.1626,1.2568
Prx3,1.0434,1.0258,1.1539,0.97617,1.0042,1.0613
,1.6625,1.5791,1.4288,1.5156,1.6821,1.5891
Fech,0.51141,0.50763,0.46192,0.47182,0.54635,0.51887
cpa,1.9284,1.7453,1.4782,1.4727,1.4995,1.6263
bcn92,2.2948,2.2736,2.0841,1.9703,2.2693,2.1895
,0.76891,0.76763,0.82239,0.74826,0.82424,0.85627
gho,0.23616,0.19351,0.19298,0.23623,0.19419,0.22691
fabp,2.64,2.8597,2.5306,2.2384,2.1442,2.2278
Nop60B,1.0774,0.87647,1.6178,1.2938,1.0042,0.97325
Fas3,2.1661,2.5319,2.5113,2.3042,2.1442,2.0528
Hsp83,0.61668,0.59378,0.67478,0.66429,0.668,0.65332
ATPsyn-b,0.77668,0.75731,0.68724,0.73907,0.83448,0.84826
Ubc-E2H,1.4018,1.3047,1.5718,1.5686,1.4131,1.4687
Pros45,0.9561,0.9165,0.87472,1.1436,1.0719,1.0988
Lmpt,0.42007,0.42765,0.42452,0.41841,0.43545,0.47418
AnxB10,1.2609,1.2326,1.3352,1.2011,1.1191,1.1902
endos,1.0542,1.1165,1.1042,1.1502,1.2458,1.0597
eIF-4a,0.56053,0.57126,0.58539,0.60604,0.65961,0.68377
Vps4,0.87517,0.79497,0.58144,0.71223,0.75466,0.64881
CG33090,0.1579,0.31855,NaN,0.44251,0.53655,NaN
Hsp60,1.5565,1.462,1.746,1.6302,1.7913,1.8316
,1.9311,1.8149,1.5329,1.7227,1.6006,1.6992
wupA,2.2838,2.3832,2.5563,2.6033,2.5366,2.5545
RpL17,0.61552,0.76813,0.63851,0.78815,0.71517,0.76183
cindr,NaN,NaN,0.54258,0.43206,NaN,0.42013
CG17737,1.033,1.032,1.1069,1.142,0.92645,0.90835
BG:DS00180.3,1.8906,1.8332,1.9305,1.7274,1.9482,1.9995
EfTuM,0.569,0.51553,0.52526,0.57038,0.62224,0.59782
CSN7,1.0837,NaN,NaN,NaN,NaN,NaN
e,0.26193,0.27264,0.2101,0.26247,0.24791,0.22895
,1.3678,1.3027,0.6322,1.378,1.153,1.0217
Cand1,0.21871,0.15659,0.23065,0.1547,0.19733,0.34401
,1.4794,1.685,1.3304,1.4975,1.4925,1.3744
,1.2205,0.93927,0.93223,0.84759,0.9916,0.95871
AP-2alpha,0.23674,0.25396,0.23165,0.2368,0.26369,0.26479
pAbp,0.82708,0.76961,0.77035,0.83017,0.79044,0.82455
Ykt6,1.437,1.5498,1.5484,1.6987,1.3077,1.3294
CG10217-RA,0.85785,0.77423,NaN,0.66163,NaN,0.78336
Rpn11,0.87517,0.74486,0.73959,0.97035,1.0438,0.90688
Pp2A-29B,0.35717,0.35526,0.35399,0.36725,0.35235,0.37393
HIP-R;HIP,0.8661,0.84179,0.7447,0.91597,0.92439,0.92565
caz,2.1474,2.0655,1.9904,1.9519,1.7362,1.8195
,0.44365,0.44457,0.36601,0.37055,0.57635,0.41654
eIF-2gamma,0.38275,0.35318,0.44273,0.49854,0.42623,0.46856
CG13349;Rpn13,1.2872,1.2169,1.4497,1.3489,1.3193,1.2351
Psa,0.29378,0.30046,0.24737,0.304,0.30626,0.37712
,0.60542,0.62912,0.87995,0.57834,0.60474,0.72042
,0.55977,0.53893,0.44699,0.47844,0.38972,0.45566
Gp210,0.54538,0.70267,0.52762,0.46453,0.47047,0.45217
Cpr100A,2.6355,2.8203,3.2563,3.2102,2.9992,3.7621
RpS8,1.2006,1.274,1.3015,1.4235,1.3761,1.2714
Lamp1,1.9563,1.9578,1.7448,1.7416,1.8683,2.0373
Rpn7,0.81065,0.83829,0.87561,0.92123,0.82687,0.87034
Etf-QO,0.35292,0.31904,0.28783,0.26043,0.28689,0.30748
Ssb-c31a,1.7605,1.56,1.432,2.0384,1.5406,1.3933
,1.205,1.2931,1.2297,1.0944,1.091,1.1329
,0.86086,0.95215,0.73413,0.81881,0.79453,0.76752
,0.86315,0.81528,0.81115,0.93882,0.79779,0.69783
Sip1,1.3114,1.3506,1.0448,1.2846,1.2241,1.1038
Dms,1.6904,1.8155,1.5879,1.465,1.1037,1.0079
,2.5805,2.5267,1.9527,2.2873,2.0502,2.1949
Pex19,2.2644,2.1134,2.6816,2.2605,2.7523,2.3271
Syp,0.73292,0.74701,0.61959,0.75173,0.76678,0.75325
CG33228-RA,5.5714,5.6917,4.82,6.5236,7.0889,5.8895
Jafrac1,0.76742,0.81453,0.73775,0.76647,0.81488,0.80931
CG32017-RB,1.6507,1.6201,1.7166,1.6542,1.5701,1.487
CG2915-RB,0.98691,0.8094,0.88213,0.86333,0.92771,0.90993
Aats-ala,0.29032,0.27935,0.27139,0.35668,0.23678,0.26414
Hsp23,1.3132,0.99259,1.3674,1.4031,1.5815,1.8364
CG43078-RA;CG32352,0.54093,0.54751,0.5627,0.74102,0.93134,0.93944
Prosbeta2,0.9708,0.98972,0.89396,1.0253,1.1175,0.95205
,0.85986,0.87391,0.87522,0.76999,0.85642,0.93371
endoB,0.53993,0.57706,0.56829,0.54192,0.47531,0.49123
l(2)efl,2.3768,2.3735,2.3832,2.1996,2.2536,2.3456
PyK,0.55145,0.56694,0.53971,0.55811,0.57543,0.59615
colt,0.63006,0.55409,0.63078,0.61142,0.50157,0.56346
Ptpa,0.59473,0.68011,0.78683,3.1806,0.72546,0.97706
ATPCL,0.14285,0.13878,0.12885,0.10923,0.086055,0.085208
,0.79178,0.93184,1.9275,0.70052,0.85834,0.7969
,0.92479,0.95977,0.8815,0.84208,0.68141,0.64214
Hop,0.72784,0.72157,0.83214,0.72279,0.72752,0.72988
CG8728-RA,0.52641,0.45442,0.46835,0.47808,0.47667,NaN
CG7637,2.1372,1.8167,3.0523,NaN,1.9904,1.8493
Kap-alpha3,0.44208,0.46236,0.42566,0.52062,0.47707,0.46939
Cyp9f2,0.4454,0.42368,0.39503,0.3201,0.41714,0.41588
Spase25,0.65718,0.64018,0.57532,0.81546,0.62897,0.81203
,0.3852,0.37069,0.40702,0.48561,0.399,0.43321
Sap-r,1.8548,2.0516,1.9802,2.0007,1.6006,1.7332
Flo-2,0.89024,0.84627,0.75759,0.72755,0.75127,0.76704
Pbprp2,1.4933,1.587,1.2474,1.1715,1.1473,1.0772
PHGPx,1.2979,1.2891,1.3119,1.2833,1.4073,1.3492
CG32068,1.0411,0.79422,0.58756,0.74195,0.63064,0.713
Vha68-2,0.80208,0.75841,0.82626,0.80388,0.77173,0.81739
,0.73421,0.62057,0.73219,0.65695,1.2399,0.87536
Prosalpha1,0.69923,0.77811,0.90102,0.78599,0.79762,0.84724
CG4747,0.63431,0.63243,0.59826,0.6362,0.5872,0.62155
DhpD,0.46709,0.44652,0.40074,0.38781,0.39772,0.3524
HspB8,2.8761,2.8849,3.0091,2.8,2.878,2.9127
ND75,0.17601,0.17642,0.19742,0.19229,0.2171,0.22946
CG12262,0.84755,0.79859,0.74581,0.76735,0.72031,0.77369
CG6259,1.2555,1.2218,1.2273,1.1843,1.162,1.4217
,1.8797,1.7299,1.7693,1.7722,1.6314,1.7885
CG3192-RA,1.4227,1.4922,1.4483,1.3234,1.7492,1.8169
sea,0.95576,0.99514,0.76862,0.91738,0.84366,0.9248
,1.0381,1.0528,0.75622,0.89737,0.82041,0.852
Acsl,0.2058,0.20334,0.1927,0.18403,0.19358,0.22531
pont,0.95946,0.74407,0.87947,0.67678,0.74298,1.0736
VhaM8.9,1.3464,NaN,1.7031,1.4023,1.5209,1.2569
HspB8,3.0538,2.9778,2.8452,2.9085,3.2742,2.774
Hsc70Cb,0.24999,0.22811,0.22711,0.25735,0.25265,0.22955
,0.42685,0.44771,0.4714,0.41512,0.33081,0.44535
if,0.84157,0.75158,0.6151,0.85804,0.85944,0.9529
Jheh2,1.2193,1.3209,1.0319,1.2105,1.1761,1.1519
Nipsnap,1.108,1.1878,0.89265,0.87603,0.83265,0.96586
Nlp,3.2899,3.6783,3.6182,3.5862,3.5055,3.6323
Past1,0.86532,0.87709,0.79572,0.79157,0.82826,0.76775
RpS23,1.125,1.1921,1.0061,1.2867,1.2871,1.2302
,0.85327,1.1534,0.97772,0.96258,0.93153,0.97161
RpL36,1.6519,1.7939,1.8376,1.8293,2.0245,1.6798
,1.0277,1.0409,0.88427,0.96027,0.9101,0.86837
,2.0743,2.5182,2.1176,1.6211,1.2828,1.1823
Thiolase,0.99564,0.93368,0.98347,0.92894,0.87748,0.91787
,1.0517,0.93465,1.0432,1.2007,1.0152,1.0772
CG1354,0.48578,0.40897,0.66125,0.43225,0.61923,0.45482
Clc,1.2956,1.4663,1.3174,1.4167,1.2908,1.407
,0.93717,0.92875,NaN,0.96901,1.0786,1.345
,1.1069,1.0273,0.93651,1.1627,1.0486,1.1508
,0.36372,0.38831,0.38141,0.3709,0.2931,0.31084
,3.5266,2.9687,2.7556,2.442,2.7258,2.9163
,0.18468,0.13027,0.29492,0.2105,0.26286,0.31552
,0.52816,0.48514,0.56879,0.60604,NaN,0.60008
CG32549-RE;CG32549-RF;CG32549-RA;CG6247,0.68132,0.68441,0.59656,0.59563,0.51174,0.5554
,1.6861,1.6416,1.485,1.6675,1.6132,1.5053
CG8154,0.7837,0.70313,0.76567,0.72802,0.8767,0.72818
,2.137,2.2777,1.8806,1.7694,2.0427,2.079
CG2640,0.74953,0.61615,0.64026,0.69749,0.68555,0.58633
,1.2894,1.0141,1.2146,1.0399,1.2659,0.98352
Ppox,0.32201,0.18757,0.24071,0.49349,0.36005,0.16186
,1.8821,1.935,2.0623,1.9904,1.8601,1.7611
Cyp12e1,0.66653,0.62121,0.60617,1.0589,0.43005,0.40495
Pgm,0.60793,0.58787,0.5358,0.57455,0.59603,0.56822
,1.4141,1.3971,1.3148,1.3239,1.2292,1.2964
Gp150,1.4911,1.1212,1.303,1.1829,1.8903,2.0333
wal,1.3908,1.4591,1.3901,1.3141,1.3778,1.3665
CG31140-RB,0.23391,2.7227,2.5953,0.31078,0.45488,0.31879
Mtpalpha,0.62554,0.62814,0.56262,0.61007,0.65301,0.642
BG:DS00180.2,1.3025,1.1186,1.0843,1.0516,1.3881,1.2097
CG6812-RA,1.1447,1.3579,1.2931,NaN,1.5417,NaN
,0.34993,0.32565,0.27047,0.29227,0.28424,0.26859
RpS2,0.8952,0.98329,1.0042,1.0422,0.99277,1.0445
Tpi,1.046,1.0424,1.01,0.92835,1.1371,1.1262
Sec61gamma;SEC61G1,0.92133,0.82354,0.86503,0.86992,0.949,0.9349
alt,0.48293,0.44181,0.43592,0.55025,0.55411,0.50047
Dhc64C,0.28926,0.17494,0.28925,0.1959,0.2096,0.25421
Elongin-B,2.1166,2.3438,2.0152,1.7046,2.1829,2.1055
eIF6,NaN,1.0477,1.2093,NaN,1.1364,0.99523
Indy,NaN,NaN,NaN,NaN,0.7045,0.71066
RpS17,0.86392,0.82594,1.0918,1.0115,0.89537,1.0921
RpS24,0.97206,1.2402,1.1547,1.1447,1.2103,1.1111
,1.7534,1.85,1.484,1.6215,1.5415,1.5211
,0.3741,0.38738,0.29595,0.41074,0.33724,0.43353
elav,1.8301,1.8484,1.4155,1.7056,1.524,1.5007
Cyp9b2,0.6122,0.57408,0.38548,0.37897,0.7001,0.57448
sqh,1.8089,1.5331,1.8644,1.5768,1.7378,1.3272
Nc73EF,0.26214,0.24124,NaN,0.26143,NaN,NaN
Ppn,0.24766,0.22464,0.32742,0.23995,0.32148,0.26562
cher,0.36047,0.35261,0.40543,0.44132,0.47036,0.48961
Trp1,1.149,1.3441,1.0119,1.131,1.1945,1.0463
Men,0.54795,0.51231,0.42576,0.41998,0.42344,0.42728
MSBP,1.3637,1.3901,1.2275,1.2419,1.2476,1.1824
,2.2754,1.7751,2.4697,2.1513,2.172,2.2198
Gnpda1,0.74611,0.88358,0.74299,0.70815,0.83328,0.89172
l(2)tid,0.68095,0.72317,1.1789,1.0025,1.1218,0.78909
,2.2979,2.2412,2.1314,2.0427,2.0392,2.2001
cv-d,0.30695,0.3002,0.24071,0.27062,0.18519,0.25439
Acer,0.44512,0.40035,0.27196,0.28985,0.23582,0.48368
Gyk,0.57782,0.43047,0.38083,0.42535,0.26748,0.34128
Ost48,1.3948,1.3365,1.073,1.377,1.3969,1.3897
,1.0085,1.0546,0.93097,0.9238,0.58877,0.62062
Ugt35b,0.90875,0.77349,0.66756,0.54132,0.72209,0.81016
Snx1,0.8682,1.0208,1.0763,0.91062,0.95461,0.83616
Cp1,0.8778,0.36457,0.74376,0.86134,0.75522,0.54369
,0.75314,NaN,0.86212,NaN,0.79616,0.55077
Dip-B,0.40216,0.45948,0.36799,0.4352,0.4746,0.49948
sws,0.70585,NaN,NaN,NaN,NaN,NaN
CG11899,1.1918,1.2534,0.97433,1.0209,1.0815,1.0735
,2.1924,2.3672,1.9012,2.3063,2.2809,2.33
GstO2,1.3459,1.2816,1.3443,1.3265,0.98718,1.0837
zetaCOP;CG5946-RB,1.3149,1.3791,1.086,1.1462,1.2383,1.1399
,0.60812,0.50773,0.49919,0.64088,0.5658,0.61952
CAH1,0.21418,0.21683,0.1764,0.19843,0.17633,0.1883
NTPase,0.78779,0.79038,0.74672,0.8255,0.90972,0.9382
,1.5361,1.4909,1.2788,1.3293,1.4433,1.3641
grsm,0.26876,0.34895,0.28584,0.35177,0.25427,0.25185
,0.78558,0.79066,0.59986,0.70155,0.65409,0.6382
CG34455-RC,1.4886,1.4932,1.1836,1.2925,1.2559,1.2228
Ef1alpha100E,0.54398,0.52234,0.62183,0.65619,0.63719,0.69774
,1.8068,1.7787,1.7639,1.7261,1.6103,1.7636
,1.3828,1.4001,1.5281,1.657,1.8008,1.5773
,0.92881,0.83021,1.9918,2.0162,2.845,2.3201
Fit1,0.54406,0.51554,0.46026,0.54271,0.55798,0.54313
,0.91818,0.87026,0.72737,0.72823,0.71842,0.72532
Pdi,1.1556,1.1748,1.0563,1.0365,1.2304,1.2303
Cpr47Ea,1.9485,2.0533,2.1236,1.9426,1.747,1.8092
eIF4G,0.31265,0.26943,0.2572,0.29829,0.37637,0.24918
,0.9764,1.0118,0.96211,1.0669,0.96854,1.0282
,0.5146,0.52282,0.3925,0.42254,0.45345,0.4623
RpL26,1.5472,1.6647,1.7265,1.8653,1.8854,1.8717
Moe,1.1553,1.2657,1.169,1.2764,1.1996,1.2189
OstStt3,0.8995,0.68313,0.60189,NaN,0.80748,0.80822
Gasp,1.4254,1.5057,2.4782,3.0947,2.902,2.9904
CG11779-RB,1.2007,1.1801,1.2143,1.2433,1.244,1.2263
Set,1.6129,1.3541,1.5111,1.3618,1.4092,1.4913
prtp,0.49,0.6495,0.52971,0.62104,0.96048,0.93186
sqd,1.8433,1.813,1.9641,1.7788,1.7146,1.7886
Fer2LCH,2.1843,2.118,1.8535,1.8742,1.8073,1.9147
Inos,0.75094,0.68072,0.64041,0.52678,0.61767,0.5872
CG17896,0.89438,0.86894,0.92839,0.88186,0.81662,0.8006
,1.4344,1.1106,1.3727,1.3903,1.1549,1.257
,1.2137,1.3544,0.97608,1.1597,1.0404,1.1285
CG17333,0.53186,0.57695,0.48241,0.72136,0.43175,0.45236
Crc,1.3074,1.1577,1.2326,1.1362,1.3531,1.2929
RpS11,0.84115,0.95248,0.9516,0.96921,0.93737,0.93958
Lis-1,0.66048,0.63717,0.601,0.65204,0.59588,0.50127
Tret1-1,1.1336,1.0993,1.1119,1.1025,1.3833,1.2568
Pgi,0.54124,0.53641,0.58822,0.56696,0.57797,0.54879
dl,0.72616,0.71219,0.80483,1.0219,NaN,0.90243
CG9471-RA,0.79087,0.86795,0.75508,0.75082,0.70353,0.82512
Mal-B2,1.533,1.4114,1.2022,1.1636,1.3638,1.3274
GstD9,0.71155,0.48553,0.63785,0.67468,0.61715,0.37205
Top2,0.38284,0.28013,0.31895,0.30511,0.30904,0.40894
eRF1,0.88244,0.80029,0.89619,0.98118,0.94981,0.9818
,0.84732,0.79288,0.69419,0.71472,0.77116,0.91549
CG15093,0.67369,0.65476,0.64927,0.62211,0.58841,0.60449
Mdr65,0.49712,0.41362,0.61641,0.3937,0.29505,0.37475
RpS20,0.79451,0.89704,0.9032,0.93889,1.0572,0.92091
CG9231,1.319,1.0735,1.1976,1.3027,1.3008,1.7582
Anp32a;Mapmodulin,1.2886,1.5526,1.3283,0.97693,1.4272,1.3738
,0.65207,0.69129,0.64409,0.68918,0.55964,0.61514
CG7639,0.73563,0.78564,0.89515,0.9058,0.62048,0.74018
tws,0.43266,0.46486,0.48412,0.43092,0.51845,0.54188
CG1440-RC,0.48356,0.46066,0.48068,0.47703,0.46636,0.47652
,0.58729,0.60828,0.50694,0.53957,0.62621,0.61817
Cpr97Ea,2.9963,0.93693,4.289,3.3947,3.8356,3.9732
CG15117-RB,1.13,1.1674,1.1075,1.0495,0.73606,0.8299
aralar1,0.85004,0.77625,0.67852,0.71471,0.6482,0.66991
